Time(ms),AccelX,AccelY,AccelZ
30937,-9.4,2.82,0.65
31081,-9.42,2.92,0.55
31230,-9.42,2.72,0.67
31374,-9.32,2.97,0.67
31517,-9.33,2.86,0.72
31661,-9.33,2.97,0.75
31804,-9.37,2.78,0.72
31948,-9.33,2.83,0.56
32091,-9.36,2.96,0.73
32235,-9.34,2.89,0.56
32378,-9.32,2.9,0.75
32528,-9.29,2.99,0.63
32671,-9.31,2.92,0.61
32816,-9.27,3.01,0.74
32959,-9.27,3.1,0.74
33103,-9.3,3.14,0.62
33247,-9.34,3.03,0.74
33390,-9.51,2.64,2.19
33534,-10.69,2.68,7.12
33683,-10.87,3.34,5.98
33827,-8.21,3.48,5.21
33970,-5.81,1.93,6.08
34114,-3.42,0.64,9.05
34257,-0.75,0.99,8.8
34401,0.63,-0.27,7.81
34544,1.68,1.57,8.21
34688,1.71,0.02,9.88
34832,1.47,0.08,9.42
34981,1.37,0.15,10.34
35125,0.99,0.38,9.96
35270,0.8,-0.07,10.53
35414,0.43,-0.22,10.08
35557,0.13,-0.1,9.7
35702,-0.24,-0.63,9.37
35845,-0.14,-0.18,9.98
35989,-0.41,-0.69,9.54
36132,-0.37,-0.66,10.03
36282,-0.44,-0.32,9.54
36425,-0.5,-0.47,10.02
36569,-0.49,-0.11,10.03
36712,-0.51,-0.0,9.61
36856,-0.63,-0.32,9.78
37000,-0.56,-0.28,10.03
37143,-0.63,-0.14,9.65
37287,-0.47,-0.04,10.2
37436,-0.51,-0.03,9.91
37580,-0.6,-0.28,10.16
37723,-0.52,-0.26,9.77
37867,-0.38,-0.17,9.86
38010,-0.45,-0.16,9.92
38154,-0.42,-0.1,9.92
38297,-0.39,-0.19,9.96
38441,-0.29,0.07,9.82
38584,-0.39,-0.07,10.05
38734,-0.37,-0.14,10.06
38877,-0.39,-0.06,9.73
39021,-0.35,-0.15,9.89
39165,-0.38,-0.25,10.02
39308,-0.35,-0.26,10.04
39452,-0.42,-0.15,9.97
39595,-0.46,-0.24,10.08
39739,-0.47,-0.23,9.88
39888,-0.46,-0.07,9.99
40032,-0.46,-0.18,9.82
40175,-0.48,-0.23,9.88
40319,-0.48,-0.16,9.91
40462,-0.41,-0.18,9.64
40612,-0.36,-0.29,10.05
40761,-0.42,-0.38,10.01
40905,-0.4,-0.3,9.74
41048,-0.29,-0.45,9.75
41198,-0.34,-0.15,9.84
41341,-0.36,-0.64,10.02
41485,-0.44,-0.65,10.02
41628,-0.35,-0.28,9.64
41772,-0.02,0.71,10.42
41916,-0.33,-0.29,9.73
42060,-0.36,-0.38,9.86
42204,-0.33,-0.27,9.75
42369,-0.29,-0.19,9.94
42512,-0.32,-0.31,9.7
42656,-0.31,-0.28,9.9
42799,-0.25,-0.16,9.85
42943,-0.34,-0.17,9.73
43087,-0.35,-0.33,9.92
43231,-0.27,-0.1,9.72
43375,-0.31,-0.22,9.88
43519,-0.3,-0.24,10.03
43668,-0.28,-0.18,9.98
43813,-0.31,-0.17,9.93
43957,-0.41,-0.4,9.81
44100,-0.29,-0.31,9.89
44245,-0.24,-0.21,9.91
44388,-0.26,-0.19,9.96
44539,-0.32,-0.3,9.92
44682,-0.34,-0.33,9.86
44832,-0.27,-0.23,9.97
44975,-0.32,-0.34,10.06
45119,-0.29,-0.25,9.81
45262,-0.29,-0.27,10.15
45407,-0.32,-0.22,9.87
45550,-0.31,-0.09,9.63
45694,-0.26,-0.21,10.11
45838,-0.33,-0.4,9.65
45982,-0.31,-0.4,9.98
46131,-0.31,-0.24,9.92
46275,-0.29,-0.1,9.84
46419,-0.34,-0.31,10.1
46564,-0.31,-0.18,9.76
46708,-0.28,-0.17,9.98
46853,-0.3,-0.18,9.8
46998,-0.31,-0.39,10.13
47142,-0.29,-0.24,9.86
47287,-0.25,-0.19,10.02
47436,-0.23,-0.18,9.97
47581,-0.25,-0.34,9.93
47725,-0.24,-0.12,9.69
47870,-0.21,-0.21,10.11
48014,-0.24,-0.21,9.9
48159,-0.22,-0.21,9.96
48303,-0.24,-0.31,10.07
48448,-0.04,0.38,9.66
48597,0.74,1.18,11.24
48742,1.74,1.29,9.64
48886,3.01,0.61,11.02
