Time(ms),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
2785,0.17,-0.28,9.92,0.03,-0.07,-0.02,12.23,-21.38,-48.41
2922,0.39,-0.36,9.86,0.07,-0.04,-0.12,11.77,-21.54,-48.92
3060,0.17,-0.23,10.18,-0.02,-0.07,-0.01,12.63,-21.54,-48.71
3198,0.20,-0.15,10.48,-0.01,0.08,0.00,13.11,-22.13,-49.46
3335,0.08,-0.42,10.05,-0.05,-0.07,-0.03,12.89,-21.59,-48.09
3473,0.21,-0.57,9.64,0.02,-0.05,-0.04,12.45,-21.76,-48.95
3611,-0.06,-0.54,9.78,-0.05,-0.09,-0.02,12.77,-21.57,-50.15
3749,0.31,-0.28,10.46,-0.00,-0.08,-0.02,12.13,-21.48,-49.84
3893,0.03,-0.47,9.66,0.06,-0.07,-0.01,11.77,-20.68,-50.70
4031,0.35,-0.46,9.88,0.10,-0.12,-0.01,11.75,-22.20,-49.21
4168,0.40,-0.12,9.33,-0.00,0.06,0.07,12.53,-22.32,-48.85
4305,0.33,-0.30,9.88,0.04,-0.09,0.05,12.25,-21.59,-49.69
4442,0.21,-0.37,10.06,-0.03,-0.03,0.02,11.60,-21.81,-48.61
4579,0.23,-0.40,9.87,-0.07,-0.04,-0.00,11.87,-21.72,-49.66
4714,0.25,-0.53,9.99,0.13,0.03,-0.02,11.69,-21.48,-49.25
4850,0.10,-0.44,9.92,0.08,-0.02,0.05,12.96,-21.21,-49.58
4986,0.13,-0.52,9.74,0.10,-0.07,0.02,13.30,-21.43,-49.88
5126,-0.01,-0.29,10.08,0.09,0.01,0.03,12.79,-22.74,-49.69
5262,0.05,-0.10,9.89,0.11,-0.04,-0.00,12.32,-23.02,-49.34
5398,0.04,-0.24,9.74,-0.02,-0.03,0.06,13.48,-22.98,-48.77
5534,-0.01,-0.23,9.77,-0.08,-0.09,-0.01,12.76,-23.03,-49.23
5669,-0.05,-0.37,9.77,-0.12,-0.02,0.02,12.86,-22.01,-49.65
5805,-0.02,-0.40,9.89,0.06,-0.05,-0.02,13.64,-22.60,-49.96
5941,0.11,-0.37,9.81,-0.06,-0.09,-0.01,13.24,-21.82,-49.75
6077,0.08,-0.36,9.89,0.02,-0.04,0.02,13.30,-22.45,-49.02
6218,0.08,-0.39,9.95,-0.01,-0.03,0.01,12.28,-22.32,-48.54
6354,0.07,-0.42,9.99,-0.02,-0.02,-0.01,12.41,-22.39,-49.30
6490,0.07,-0.45,9.93,-0.02,-0.03,-0.01,12.44,-22.11,-48.96
6625,0.08,-0.47,9.94,-0.01,-0.03,0.00,12.91,-22.04,-48.42
6761,0.08,-0.49,9.83,0.02,-0.05,0.02,13.07,-22.01,-48.49
6897,0.04,-0.38,9.96,0.01,-0.03,0.00,13.37,-22.04,-49.53
7033,0.01,-0.47,9.88,0.03,-0.04,0.00,13.58,-21.91,-49.62
7168,-0.05,-0.55,9.87,-0.04,-0.04,0.01,13.36,-21.92,-49.91
7304,0.00,-0.52,9.85,-0.02,-0.04,-0.00,13.88,-22.89,-50.07
7445,0.03,-0.50,9.86,0.09,-0.09,-0.02,13.45,-21.82,-48.89
7581,0.02,-0.45,9.81,0.00,-0.04,-0.01,13.18,-22.46,-49.99
7716,-0.07,-0.42,9.92,0.02,-0.03,-0.01,13.83,-22.27,-50.34
7852,-0.15,-0.49,9.77,0.09,-0.04,-0.02,13.74,-22.67,-49.87
7988,0.04,-0.36,9.96,-0.06,-0.04,-0.02,13.81,-22.20,-49.62
8124,0.00,-0.38,9.86,0.03,-0.05,-0.01,13.29,-22.20,-48.83
8259,-0.01,-0.42,9.90,-0.01,-0.04,0.01,13.77,-22.38,-50.32
8395,0.02,-0.46,9.82,-0.01,-0.05,-0.02,13.74,-22.45,-50.20
8531,0.02,-0.43,9.87,0.03,-0.02,0.01,13.74,-22.95,-50.51
8671,-0.02,-0.42,9.91,0.00,-0.04,0.01,13.04,-22.10,-50.10
8807,-0.00,-0.43,9.95,0.01,-0.05,-0.01,13.64,-22.55,-49.77
8943,0.04,-0.47,9.96,0.02,-0.04,-0.02,12.39,-21.82,-50.19
9079,0.03,-0.43,9.92,0.02,-0.05,-0.02,12.77,-22.13,-49.24
9214,0.05,-0.45,9.85,0.02,-0.04,-0.02,12.23,-21.78,-49.53
9350,0.10,-0.44,9.99,-0.03,-0.04,-0.00,12.79,-21.75,-48.66
9486,0.09,-0.52,9.86,-0.03,-0.07,0.01,12.80,-21.28,-49.80
9622,0.08,-0.50,9.97,-0.02,-0.05,0.01,12.88,-21.31,-48.51
9762,0.03,-0.71,9.72,-0.04,-0.06,0.03,13.27,-21.22,-49.14
9898,-0.05,-0.61,10.01,-0.04,-0.00,0.01,13.26,-20.94,-49.59
10034,-0.02,-0.69,9.80,-0.02,-0.05,0.00,13.26,-20.48,-48.95
10169,-0.08,-0.64,10.02,0.04,-0.04,-0.01,13.05,-21.09,-49.78
10305,-0.11,-0.69,9.85,0.01,-0.04,-0.03,13.50,-20.61,-49.17
10441,-0.07,-0.70,9.95,0.01,-0.06,-0.03,13.56,-20.04,-48.36
10577,-0.06,-0.68,9.94,0.00,-0.01,-0.01,13.17,-19.92,-49.05
10712,-0.08,-0.73,9.86,0.03,-0.05,0.00,12.93,-20.81,-49.24
10848,-0.09,-0.70,9.98,0.01,-0.06,-0.00,13.93,-20.86,-49.18
10989,-0.07,-0.72,9.89,0.03,-0.04,-0.00,12.99,-21.25,-48.42
11125,-0.07,-0.62,9.90,0.02,-0.05,0.00,13.75,-21.19,-48.45
11260,-0.05,-0.60,9.94,0.02,-0.05,-0.00,13.39,-20.81,-49.44
11396,-0.08,-0.64,9.91,0.03,-0.04,-0.02,13.43,-20.67,-49.14
11532,-0.02,-0.52,9.96,0.04,-0.02,-0.01,13.59,-21.66,-48.95
11667,-0.01,-0.54,9.91,0.03,-0.03,-0.00,13.45,-21.37,-49.33
11803,-0.07,-0.57,9.98,0.01,-0.04,-0.00,13.24,-22.00,-48.92
11939,-0.01,-0.54,9.95,0.00,-0.03,-0.01,13.37,-21.47,-50.03
12080,-0.02,-0.54,9.91,-0.00,-0.04,-0.01,13.72,-21.28,-48.85
12215,-0.01,-0.55,9.94,0.02,-0.04,-0.01,13.36,-21.57,-49.53
12351,-0.05,-0.60,9.89,0.02,-0.05,-0.00,13.97,-21.03,-49.31
12487,-0.04,-0.59,9.97,-0.00,-0.05,0.01,13.93,-21.85,-49.02
12623,-0.02,-0.59,9.81,0.02,-0.05,0.00,13.77,-21.53,-48.86
12758,-0.03,-0.59,9.95,-0.01,-0.06,-0.01,14.13,-21.15,-48.77
12894,-0.04,-0.66,9.89,-0.00,-0.05,-0.00,14.00,-20.91,-47.71
13030,-0.04,-0.62,9.92,-0.02,-0.03,-0.01,13.78,-21.12,-49.68
13171,-0.06,-0.65,9.90,0.03,-0.05,-0.02,14.02,-20.91,-48.82
13307,-0.09,-0.66,9.90,0.03,-0.03,-0.00,14.00,-20.51,-49.11
13443,-0.08,-0.63,9.88,0.01,-0.02,0.01,14.38,-20.48,-48.98
13579,-0.14,-0.61,9.94,0.04,-0.02,-0.01,14.81,-20.97,-49.02
13714,-0.10,-0.62,9.85,-0.01,-0.05,-0.00,14.25,-20.91,-47.81
13850,-0.08,-0.61,9.92,0.02,-0.05,-0.01,14.43,-20.90,-48.42
13986,-0.08,-0.61,9.92,0.01,-0.04,-0.00,14.51,-21.19,-48.61
14122,-0.00,-0.62,9.81,0.03,-0.06,0.01,14.44,-21.81,-52.05
14257,-0.06,-0.52,9.91,-0.00,-0.05,-0.00,14.21,-20.68,-48.44
14399,-0.07,-0.54,9.91,0.02,-0.06,0.02,14.64,-21.60,-48.67
14535,-0.03,-0.54,9.89,-0.01,-0.05,-0.01,14.67,-20.94,-49.08
14670,-0.05,-0.57,9.93,0.02,-0.05,-0.01,13.87,-21.65,-48.93
14806,-0.03,-0.57,9.89,0.02,-0.05,-0.00,14.60,-21.65,-50.00
14942,-0.02,-0.56,9.88,0.01,-0.05,-0.00,14.64,-22.00,-49.47
15078,0.01,-0.59,9.82,0.02,-0.07,0.00,14.06,-21.62,-49.65
15213,0.02,-0.54,9.93,0.03,-0.08,0.02,13.43,-21.73,-52.37
15349,-0.01,-0.50,9.91,0.03,-0.05,0.01,13.23,-21.81,-49.81
15490,-0.01,-0.57,9.87,-0.02,-0.07,0.00,13.36,-21.65,-49.08
15625,-0.01,-0.53,9.90,0.03,-0.05,-0.01,13.91,-21.79,-49.55
15761,-0.01,-0.56,9.88,0.01,-0.05,-0.01,13.77,-22.20,-49.36
15897,0.00,-0.55,9.90,0.01,-0.04,0.01,12.86,-21.98,-49.94
16033,0.04,-0.53,9.90,0.02,-0.05,0.01,13.33,-22.26,-49.66
16168,0.03,-0.49,9.90,0.02,-0.04,-0.00,13.33,-21.44,-49.91
16304,0.02,-0.51,9.92,0.02,-0.05,0.01,13.07,-21.53,-50.01
16440,0.00,-0.52,9.86,0.03,-0.06,-0.01,13.33,-21.57,-49.66
16576,-0.02,-0.48,9.92,0.03,-0.05,-0.00,13.20,-21.75,-49.82
16716,-0.01,-0.42,9.95,0.03,-0.05,-0.00,13.34,-21.94,-49.01
16852,-0.01,-0.38,9.87,0.08,-0.07,0.00,13.20,-21.94,-51.11
16988,-0.01,-0.21,9.95,0.09,-0.03,-0.02,12.96,-22.60,-50.15
