timestamp,filtered_x,filtered_y,filtered_z
3.49,0.0,0.0,0.0
<<<<<<< HEAD
3.65,-0.004068875314496706,0.013661172520348482,-0.1646078468235183
3.82,-0.027496129699985022,0.03316041075503732,-0.4017622954638675
3.98,-0.06791395322092772,0.0534580349265494,-0.6483576124456819
4.14,-0.13061395311997245,0.07324179810155357,-0.8928716767519459
4.31,-0.22154537209002484,0.09464589346093356,-1.1468005764355527
4.47,-0.3278809106229508,0.11447156137924903,-1.3766800622323443
4.64,-0.4608523276194473,0.13453266690290058,-1.6089913749356421
4.81,-0.6213579623793697,0.1556823802041522,-1.8336655910581223
4.97,-0.7865519466120237,0.17520782857739053,-2.031992073305773
5.13,-0.9650908695956208,0.19379447099802083,-2.2077511401130363
5.3,-1.1757831047748108,0.2134837058404276,-2.372012190474925
5.46,-1.39140320893541,0.23000041847830865,-2.500901186673349
5.62,-1.6108883297625805,0.24864414167158005,-2.6122360737432064
5.79,-1.8534375161952135,0.26908014793348506,-2.7082676249209485
5.96,-2.110594431947551,0.2902026110905478,-2.782959678185926
6.12,-2.359000074912946,0.3092734948709621,-2.833155738390817
6.28,-2.6045777406665396,0.32698526667339345,-2.8626467435088516
6.44,-2.84667356855104,0.3443244760925761,-2.8677378628191725
6.61,-3.1067606534122034,0.3664542574895122,-2.8496426158456383
6.77,-3.350686528509343,0.3839970124674188,-2.8107663450014644
6.94,-3.6054259550168823,0.40123162550734065,-2.744326430971949
7.1,-3.84185161996951,0.41789405127695317,-2.6627090809957754
7.26,-4.064458634757293,0.43406551713064945,-2.560249725097924
7.43,-4.29126580356738,0.45244989164668775,-2.428344270667895
7.59,-4.491931022870078,0.471732957304922,-2.280027873211844
7.75,-4.673624847592614,0.4908065488355095,-2.11442130785291
7.91,-4.838553031732383,0.5076582213682166,-1.9327193558248077
8.09,-5.009148252508616,0.5284952956110192,-1.7042490546109903
8.25,-5.147394665050945,0.5476290598139745,-1.490112837275426
8.41,-5.263385031375846,0.5621531370087691,-1.2761160145551156
8.57,-5.359394354166421,0.5738704492996034,-1.0508240535591338
8.74,-5.438244670226348,0.5863216000269894,-0.7989652170978773
8.9,-5.490583647395232,0.5999485652515231,-0.5552707647169605
9.06,-5.520269860226412,0.6133040560650361,-0.31251577867205227
9.23,-5.528221083492489,0.6271285978660012,-0.04739231085838522
9.4,-5.511846424434937,0.6405349420357279,0.22154330817315654
9.56,-5.472536933199215,0.6538263813124602,0.47028461048050285
9.72,-5.410226465016176,0.6669454099461412,0.7067683193329664
9.88,-5.32515629540687,0.6803817580519105,0.9323917855108923
10.04,-5.220093392742687,0.6943746002204844,1.1505803552440046
10.21,-5.084200209101524,0.7103403576789213,1.3767507667680936
10.38,-4.923993470218418,0.7274952435431085,1.5930901053645286
10.54,-4.756671247026594,0.7436733264956384,1.7811643326662006
10.7,-4.578744844122052,0.759043651714594,1.9499098941402657
10.87,-4.377303406865376,0.773596923068382,2.116655284395995
11.03,-4.177550812535854,0.7863310061123125,2.2612227768974167
11.19,-3.9700950371770536,0.7990730061401303,2.3824793901932955
11.35,-3.750951953876489,0.8095279059042333,2.4781529185509337
11.52,-3.499548442197186,0.8230800130352078,2.553812956583523
11.69,-3.236194809650236,0.8366252187911836,2.6130469867980954
11.85,-2.988962410584381,0.8486729894544875,2.646908786228411
12.01,-2.744950913756632,0.8581433411333823,2.659801285850975
12.17,-2.503752100226365,0.8681997239843752,2.6476281621823605
12.34,-2.2445641138904477,0.8816064644700415,2.6064271839495285
12.5,-2.003309932207914,0.8954538355209646,2.546297097601747
12.67,-1.755624311292884,0.9098393680133449,2.4520052312497937
12.83,-1.5325528770988621,0.9293895666591868,2.3378374791177263
13.0,-1.311863941510682,0.9490349676061405,2.19562289546295
13.16,-1.1161389769414087,0.969899562219184,2.046379486129484
13.32,-0.9368096389522798,0.9926058359122272,1.8752131724225642
13.48,-0.7726255211583078,1.0136269442416517,1.6873026215370577
13.65,-0.6150254267871279,1.0379962818174184,1.477011975702049
13.82,-0.4657046472063979,1.0619486859279519,1.2497438384769246
13.98,-0.35385003986588837,1.0824334145904193,1.0209850328766665
14.14,-0.2636538821358102,1.100562678743028,0.7844049912057006
14.31,-0.18854017180201177,1.1186888596486033,0.5235349424575518
14.47,-0.1400609879346415,1.1364193228198618,0.27368674625094813
14.63,-0.1170364897765903,1.156057158890835,0.02735744890934695
14.79,-0.10980331315499882,1.1745649392756983,-0.21767711539273482
14.96,-0.11753446093005725,1.1962853556680377,-0.48611601202873267
15.13,-0.14215188364818637,1.2168300310239502,-0.7573111485217806
15.29,-0.1860648942192838,1.2372484674972868,-1.0036865996835247
15.45,-0.25864873767247226,1.2569853810663527,-1.239378878529104
15.61,-0.3464234216512738,1.2757785674457849,-1.4672586304772732
15.78,-0.46162216720466565,1.2971882624112228,-1.705611524162194
15.94,-0.5833838015084709,1.3115158340908797,-1.9225992983309061
16.11,-0.7274698388202151,1.3254365678116147,-2.1495635941839484
16.27,-0.8781990039654832,1.3344584415519418,-2.35191025373261
16.43,-1.0384805576149323,1.3431356243721444,-2.5402210913726755
16.6,-1.2280296405837599,1.3492589344163617,-2.728113521429713
16.76,-1.4241464372846149,1.3513889676655297,-2.8964821532227645
16.92,-1.629826005092279,1.3515214673977742,-3.0405695220980813
17.08,-1.841499896452653,1.3511866033448796,-3.1657222393723
17.26,-2.1006757843476223,1.3530800477132117,-3.2808467471177494
17.42,-2.347724247076291,1.3546939979774741,-3.365122602390392
17.58,-2.5940327028493466,1.3591543948163842,-3.4178195670598015
