Timestamp,qw,qx,qy,qz,yaw,pitch,roll
8735,0.800908,0.395660,-0.250653,0.373047,213.813660,-44.162769,38.520313
8856,0.761338,0.345087,-0.261259,0.482717,234.377777,-46.967903,23.602463
8977,0.724878,0.316630,-0.272492,0.547757,247.976471,-47.895157,13.851485
9098,0.733683,0.294782,-0.266674,0.551080,248.974228,-45.742050,11.458086
9219,0.732315,0.233181,-0.293767,0.568361,255.385651,-44.052868,0.605321
9340,0.720779,0.226480,-0.297922,0.583454,258.657318,-43.927967,-1.683855
9461,0.717281,0.248101,-0.335531,0.558000,256.508453,-49.307606,-1.629080
9584,0.733216,0.242604,-0.341897,0.535383,252.693329,-49.564896,-0.912614
9705,0.714368,0.234976,-0.363598,0.549775,257.959991,-51.064445,-5.851988
9831,0.688178,0.223475,-0.401920,0.561180,265.459106,-53.514172,-13.966819
9951,0.673859,0.197942,-0.426594,0.569862,271.285919,-53.180481,-21.478210
10071,0.671501,0.170299,-0.424309,0.583128,273.597656,-50.215843,-24.576994
10192,0.671454,0.152826,-0.432411,0.582071,274.539734,-49.340816,-27.232893
10313,0.670567,0.139962,-0.432610,0.586166,275.282227,-48.096397,-28.575523
10436,0.663422,0.115501,-0.438177,0.595419,277.693085,-45.966602,-32.020763
10557,0.659810,0.146177,-0.428583,0.599659,277.403992,-47.806416,-28.561604
10678,0.663718,0.198814,-0.452197,0.561659,274.032715,-55.446278,-25.485920
10799,0.605737,0.220153,-0.446842,0.620435,286.959045,-54.539764,-29.737844
10920,0.565740,0.224279,-0.419287,0.673667,294.301025,-50.949772,-29.597006
11041,0.580721,0.244289,-0.404713,0.662786,289.817963,-52.548916,-24.560366
11161,0.561135,0.233455,-0.362380,0.706611,292.722748,-47.443581,-21.705477
11283,0.532605,0.185945,-0.353053,0.746393,298.706329,-40.817463,-25.764881
11403,0.550738,0.180982,-0.347248,0.737118,295.536407,-40.488541,-24.267567
11524,0.556146,0.204574,-0.360438,0.720366,294.481018,-44.078926,-23.961426
11645,0.558388,0.222826,-0.361674,0.712556,293.588226,-46.175198,-22.642458
11766,0.557910,0.207187,-0.340193,0.728059,293.475800,-42.944012,-21.154879
11887,0.548114,0.191678,-0.327026,0.745571,295.202576,-40.114265,-21.277555
12008,0.561303,0.184413,-0.320602,0.740363,292.948364,-39.269939,-20.229996
12131,0.565845,0.177291,-0.318293,0.739641,292.282990,-38.496853,-20.197086
12252,0.564498,0.168431,-0.333022,0.736249,293.048401,-38.608383,-22.593441
Timestamp,qw,qx,qy,qz,heading,pitch,roll
380,0.999838,0.011117,0.001353,-0.013783,178.422348,0.172616,1.271670
502,0.999388,-0.030136,-0.003783,0.017118,181.973892,-0.374145,-3.460845
624,0.999069,-0.007568,-0.021603,0.036445,184.198700,-2.442372,-0.957574
745,0.998726,-0.015813,-0.031594,0.035898,184.177292,-3.553011,-1.943839
869,0.997659,-0.027084,-0.047524,0.040931,184.853546,-5.313713,-3.335449
990,0.996320,0.026985,-0.065039,0.048789,185.424774,-7.598621,2.742387
1111,0.995635,-0.030163,-0.066323,0.058254,186.950027,-7.385965,-3.919600
1233,0.994740,-0.052999,-0.063584,0.060264,187.328491,-6.898523,-6.541907
1355,0.987207,-0.070926,-0.130973,0.056828,187.763794,-14.509074,-9.208419
1477,0.981823,-0.086290,-0.160678,0.052456,187.894104,-17.846100,-11.286629
1599,0.981714,-0.118378,-0.121819,0.085885,191.675934,-12.641412,-15.049021
1733,0.981209,-0.171113,-0.053328,0.071392,189.140869,-4.601159,-20.152527
1860,0.986529,-0.151862,-0.041893,0.043981,185.724243,-3.973779,-17.700977
1982,0.979260,-0.200613,-0.028192,0.001256,180.790222,-3.136264,-23.176538
2103,0.976032,-0.213718,-0.040334,-0.007149,180.188797,-4.691448,-24.709349
2224,0.968483,-0.230690,-0.053042,-0.077463,172.715683,-7.959943,-26.288307
2345,0.942447,-0.291220,-0.069239,-0.148939,165.741959,-12.547962,-32.766846
2466,0.924709,-0.314507,-0.033753,-0.211784,157.805939,-11.281960,-35.347763
2589,0.909795,-0.324738,-0.000177,-0.258477,151.510086,-9.682972,-36.822544
2710,0.889247,-0.324865,0.013799,-0.321721,143.751053,-10.631435,-36.647884
2831,0.858379,-0.344890,0.027520,-0.378774,136.754623,-12.358343,-38.864628
2951,0.802915,-0.345974,0.106425,-0.473597,122.369888,-9.021440,-41.651981
3071,0.772458,-0.359571,0.101022,-0.513618,117.556976,-12.315452,-42.439518
3192,0.781430,-0.350154,0.055451,-0.513494,119.006706,-15.839419,-38.905449
3316,0.772259,-0.348536,0.041830,-0.529510,117.223572,-17.728048,-37.710133
3437,0.754789,-0.342089,0.050227,-0.557438,113.094109,-17.792158,-36.953102
3558,0.760823,-0.347475,0.027620,-0.547393,115.101547,-19.778332,-36.442394
Timestamp,qw,qx,qy,qz,heading,pitch,roll
187,0.991989,-0.055295,0.044627,-0.104404,167.719269,4.415755,-6.856193
308,0.994564,-0.053749,0.036314,-0.081400,170.435745,3.639741,-6.491372
429,0.995749,-0.036546,-0.025414,-0.080583,170.858307,-3.239099,-3.944842
550,0.985835,-0.086984,-0.063775,-0.128401,165.831848,-8.515739,-9.024450
673,0.968033,-0.149058,-0.075757,-0.186938,159.725830,-11.677355,-15.412283
794,0.961136,-0.083074,-0.098365,-0.244198,152.256409,-13.276904,-6.587234
915,0.950922,-0.065127,-0.113920,-0.280215,147.620026,-14.664364,-3.556803
1035,0.937542,-0.127118,-0.178920,-0.269880,149.768005,-23.834925,-8.917000
1155,0.925927,-0.114864,-0.218269,-0.286033,147.093536,-28.028633,-5.711442
1275,0.918042,-0.140430,-0.202031,-0.310891,144.662735,-27.275017,-8.555155
1395,0.919884,-0.117174,-0.129789,-0.351043,139.471817,-18.726315,-7.550818
1518,0.928470,-0.082770,-0.118243,-0.342202,140.147980,-16.034683,-4.342535
1638,0.925905,-0.089636,-0.134086,-0.341583,140.212708,-18.031389,-4.486664
1758,0.920742,-0.090694,-0.149205,-0.348910,139.160019,-19.757889,-3.831789
1878,0.911494,-0.108311,-0.162904,-0.361802,137.660812,-22.045715,-4.924889
1998,0.907006,-0.121455,-0.162722,-0.368919,136.981949,-22.630909,-6.235922
2118,0.896312,-0.116907,-0.197759,-0.379262,135.021118,-26.307199,-3.810003
2240,0.882535,-0.139566,-0.211242,-0.396259,132.974701,-28.911966,-5.173292
2360,0.874658,-0.139107,-0.223408,-0.407066,131.189941,-30.269159,-4.080615
2480,0.865823,-0.147385,-0.221170,-0.423915,129.057602,-30.527107,-4.507964
2600,0.877009,-0.142440,-0.200203,-0.412888,130.946884,-27.955334,-5.490740
2720,0.876411,-0.134509,-0.194354,-0.419559,129.959717,-26.970812,-4.677949
2840,0.873542,-0.129711,-0.206598,-0.421198,129.369598,-28.048124,-3.415483
2960,0.868837,-0.138169,-0.228266,-0.417034,129.632904,-30.790066,-3.316984
3083,0.864824,-0.147667,-0.245141,-0.412518,130.079224,-33.081947,-3.637749
3203,0.862493,-0.148746,-0.260465,-0.407591,130.380173,-34.788849,-3.089212
3323,0.858760,-0.151391,-0.269847,-0.408395,130.042450,-35.953060,-2.804533
3443,0.856440,-0.155326,-0.279295,-0.405425,130.294373,-37.181728,-2.848116
3563,0.852941,-0.154994,-0.295518,-0.401409,130.302917,-38.943295,-2.000804
3683,0.847785,-0.157223,-0.306035,-0.403578,129.625702,-40.226257,-1.468299
3803,0.843653,-0.156270,-0.318500,-0.402962,129.141541,-41.555717,-0.535051
3926,0.842858,-0.150938,-0.323688,-0.402526,128.763977,-41.848114,0.472869
4046,0.837360,-0.140829,-0.340113,-0.404118,127.264397,-43.111195,3.065652
4166,0.834417,-0.130124,-0.355624,-0.400425,126.525276,-44.241699,5.418275
4286,0.842094,-0.138475,-0.337296,-0.397398,128.410736,-42.697586,2.719016
4406,0.846292,-0.121233,-0.303211,-0.420889,125.862625,-37.970879,3.639282
4526,0.845080,-0.117533,-0.315717,-0.415140,126.006142,-39.138489,4.694889
4646,0.855037,-0.124719,-0.310623,-0.396058,129.435120,-39.048630,2.418437
4769,0.828020,-0.112766,-0.348201,-0.424753,122.408119,-42.254906,8.472663
4889,0.830737,-0.116961,-0.372089,-0.397161,125.435425,-45.326252,8.278567
5009,0.812509,-0.116112,-0.406423,-0.401447,121.900826,-48.909218,12.087461
5129,0.810176,-0.122682,-0.416417,-0.393895,122.604050,-50.478779,11.719831
5249,0.815998,-0.146457,-0.419477,-0.369769,127.936394,-52.456909,6.710222
5369,0.821087,-0.149485,-0.422270,-0.353767,130.842300,-53.054356,5.086699
5491,0.822921,-0.146499,-0.424206,-0.348396,131.499756,-53.154560,5.211582
5611,0.824031,-0.142935,-0.426448,-0.344495,131.821686,-53.253769,5.587665
5731,0.820529,-0.141325,-0.433487,-0.344733,131.090271,-53.980339,6.537449
5851,0.816300,-0.149087,-0.448152,-0.332534,132.662201,-56.181599,5.635379
5971,0.820055,-0.162956,-0.457328,-0.302982,138.852127,-58.082920,1.068542
6091,0.817404,-0.146509,-0.468684,-0.301185,136.887589,-58.700260,4.726425
6211,0.826917,-0.118008,-0.464330,-0.294402,136.345322,-56.867390,8.229245
6334,0.854071,-0.134016,-0.415520,-0.282731,143.095810,-51.771347,0.559541
6454,0.848594,-0.084073,-0.358286,-0.380056,127.847282,-42.220341,10.082687
6574,0.864776,-0.050749,-0.324844,-0.379545,128.775452,-36.895584,11.454103
6694,0.896936,-0.053066,-0.305352,-0.315343,139.054153,-35.537140,6.873601
6814,0.898736,-0.084518,-0.294368,-0.313800,140.763336,-35.602715,2.313823
6934,0.890156,-0.089068,-0.322817,-0.308981,140.645172,-39.032154,3.019694
