Time(ms),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,label
11939,-0.01,-0.54,9.95,0.0,-0.03,-0.01,13.37,-21.47,-50.03,1
12080,-0.02,-0.54,9.91,-0.0,-0.04,-0.01,13.72,-21.28,-48.85,1
12215,-0.01,-0.55,9.94,0.02,-0.04,-0.01,13.36,-21.57,-49.53,1
12351,-0.05,-0.6,9.89,0.02,-0.05,-0.0,13.97,-21.03,-49.31,1
12487,-0.04,-0.59,9.97,-0.0,-0.05,0.01,13.93,-21.85,-49.02,1
12623,-0.02,-0.59,9.81,0.02,-0.05,0.0,13.77,-21.53,-48.86,1
12758,-0.03,-0.59,9.95,-0.01,-0.06,-0.01,14.13,-21.15,-48.77,1
12894,-0.04,-0.66,9.89,-0.0,-0.05,-0.0,14.0,-20.91,-47.71,1
13030,-0.04,-0.62,9.92,-0.02,-0.03,-0.01,13.78,-21.12,-49.68,1
13171,-0.06,-0.65,9.9,0.03,-0.05,-0.02,14.02,-20.91,-48.82,1
13307,-0.09,-0.66,9.9,0.03,-0.03,-0.0,14.0,-20.51,-49.11,1
13443,-0.08,-0.63,9.88,0.01,-0.02,0.01,14.38,-20.48,-48.98,1
13579,-0.14,-0.61,9.94,0.04,-0.02,-0.01,14.81,-20.97,-49.02,1
13714,-0.1,-0.62,9.85,-0.01,-0.05,-0.0,14.25,-20.91,-47.81,1
13850,-0.08,-0.61,9.92,0.02,-0.05,-0.01,14.43,-20.9,-48.42,1
13986,-0.08,-0.61,9.92,0.01,-0.04,-0.0,14.51,-21.19,-48.61,1
14122,-0.0,-0.62,9.81,0.03,-0.06,0.01,14.44,-21.81,-52.05,1
14257,-0.06,-0.52,9.91,-0.0,-0.05,-0.0,14.21,-20.68,-48.44,1
14399,-0.07,-0.54,9.91,0.02,-0.06,0.02,14.64,-21.6,-48.67,1
14535,-0.03,-0.54,9.89,-0.01,-0.05,-0.01,14.67,-20.94,-49.08,1
14670,-0.05,-0.57,9.93,0.02,-0.05,-0.01,13.87,-21.65,-48.93,1
14806,-0.03,-0.57,9.89,0.02,-0.05,-0.0,14.6,-21.65,-50.0,1
14942,-0.02,-0.56,9.88,0.01,-0.05,-0.0,14.64,-22.0,-49.47,1
15078,0.01,-0.59,9.82,0.02,-0.07,0.0,14.06,-21.62,-49.65,1
15213,0.02,-0.54,9.93,0.03,-0.08,0.02,13.43,-21.73,-52.37,1
15349,-0.01,-0.5,9.91,0.03,-0.05,0.01,13.23,-21.81,-49.81,1
15490,-0.01,-0.57,9.87,-0.02,-0.07,0.0,13.36,-21.65,-49.08,1
15625,-0.01,-0.53,9.9,0.03,-0.05,-0.01,13.91,-21.79,-49.55,1
15761,-0.01,-0.56,9.88,0.01,-0.05,-0.01,13.77,-22.2,-49.36,1
15897,0.0,-0.55,9.9,0.01,-0.04,0.01,12.86,-21.98,-49.94,1
16033,0.04,-0.53,9.9,0.02,-0.05,0.01,13.33,-22.26,-49.66,1
16168,0.03,-0.49,9.9,0.02,-0.04,-0.0,13.33,-21.44,-49.91,1
16304,0.02,-0.51,9.92,0.02,-0.05,0.01,13.07,-21.53,-50.01,1
16440,0.0,-0.52,9.86,0.03,-0.06,-0.01,13.33,-21.57,-49.66,1
16576,-0.02,-0.48,9.92,0.03,-0.05,-0.0,13.2,-21.75,-49.82,1
16716,-0.01,-0.42,9.95,0.03,-0.05,-0.0,13.34,-21.94,-49.01,1
16852,-0.01,-0.38,9.87,0.08,-0.07,0.0,13.2,-21.94,-51.11,1
16988,-0.01,-0.21,9.95,0.09,-0.03,-0.02,12.96,-22.6,-50.15,1
17124,0.02,-0.29,9.8,0.04,-0.05,0.0,12.92,-22.45,-49.49,1
17259,0.03,-0.23,9.94,0.02,-0.06,0.0,13.4,-21.98,-50.6,1
17395,0.07,-0.22,9.89,0.01,-0.05,-0.01,12.91,-22.7,-48.87,1
17531,0.09,-0.15,9.92,0.06,-0.05,-0.02,13.05,-22.68,-50.72,1
17666,0.1,-0.2,9.95,0.0,-0.04,-0.01,12.67,-22.61,-50.38,1
17807,0.12,-0.21,9.9,0.02,-0.05,-0.01,12.93,-22.7,-50.25,1
17943,0.09,-0.14,9.95,0.05,-0.02,-0.01,12.57,-22.6,-50.07,1
18079,0.12,-0.09,9.98,0.03,-0.04,0.0,12.73,-23.41,-49.15,1
18214,0.07,-0.13,9.98,0.03,-0.02,-0.0,13.24,-23.31,-50.42,1
18350,0.1,-0.12,9.91,0.02,-0.02,-0.01,12.48,-23.87,-49.78,1
18486,0.06,-0.12,9.89,0.02,-0.04,-0.01,12.89,-23.84,-49.88,1
18627,0.1,-0.1,9.98,0.0,-0.03,-0.0,12.31,-23.84,-51.32,1
18764,0.08,-0.07,9.98,0.01,-0.06,-0.02,13.05,-23.37,-50.45,1
18901,0.04,-0.09,9.88,0.02,-0.03,-0.02,12.73,-23.52,-50.53,1
19042,0.08,-0.06,9.95,0.05,-0.05,-0.0,13.24,-23.36,-49.74,1
19179,0.12,-0.04,9.94,0.01,-0.04,-0.02,13.17,-24.25,-50.37,1
19316,0.11,-0.08,9.92,0.0,-0.05,-0.01,13.04,-24.2,-49.81,1
19453,0.1,-0.12,9.82,-0.0,-0.05,-0.0,12.22,-23.52,-48.42,1
19589,0.09,-0.1,9.89,0.0,-0.05,-0.01,12.66,-23.18,-48.49,1
19726,0.15,-0.09,9.87,-0.0,-0.03,-0.0,12.63,-23.55,-50.22,1
19863,0.12,-0.09,9.94,0.0,-0.07,-0.01,12.48,-23.44,-50.03,1
20000,0.11,-0.14,9.87,-0.02,-0.05,0.01,12.28,-23.38,-48.96,1
20142,0.12,-0.18,9.82,0.04,-0.06,-0.0,13.15,-23.52,-49.17,1
20279,0.14,-0.11,9.87,0.04,-0.05,-0.0,12.67,-23.56,-50.19,1
20415,0.1,-0.0,9.95,0.02,-0.05,-0.0,13.08,-23.88,-49.71,1
20550,0.13,-0.04,9.95,0.02,-0.04,-0.01,12.47,-23.81,-49.24,1
20687,0.14,-0.04,9.97,0.01,-0.01,-0.02,12.69,-24.09,-49.23,1
20823,0.14,-0.08,9.88,0.03,-0.04,0.0,13.29,-24.04,-49.61,1
20959,0.11,-0.02,10.03,-0.01,-0.02,-0.01,12.98,-23.84,-49.75,1
21108,0.14,-0.07,9.88,0.0,-0.04,-0.01,12.38,-24.31,-49.61,1
21244,0.12,-0.07,9.91,0.01,-0.04,-0.0,12.96,-23.94,-47.97,1
21422,0.12,-0.06,9.86,0.02,-0.06,0.0,12.99,-24.14,-49.44,1
21562,0.12,-0.03,9.91,0.02,-0.06,-0.0,12.99,-23.68,-49.75,1
21702,0.17,0.04,10.03,0.03,-0.06,0.01,13.48,-24.29,-50.1,1
21841,0.11,-0.04,9.87,0.04,-0.01,0.03,12.74,-24.63,-48.95,1
21982,0.09,0.05,9.93,0.01,-0.05,-0.0,13.75,-24.17,-49.36,1
22122,0.11,0.02,9.83,-0.01,-0.06,0.0,13.3,-24.54,-50.03,1
22262,0.09,0.05,9.94,0.02,-0.05,0.0,13.49,-24.42,-50.0,1
22402,0.07,0.05,9.86,0.0,-0.04,0.01,13.48,-24.14,-49.15,1
22542,0.11,0.09,9.91,0.02,-0.04,0.0,13.45,-23.84,-50.16,1
22688,0.12,0.07,9.94,-0.0,-0.04,-0.02,13.65,-24.42,-48.99,1
22830,0.14,0.07,9.96,0.01,-0.04,-0.01,13.96,-24.13,-48.8,1
22969,0.14,0.07,9.86,0.02,-0.06,-0.01,12.91,-25.05,-48.98,1
23109,0.12,0.03,10.0,-0.0,-0.05,-0.02,13.77,-24.16,-48.48,1
23249,0.15,0.01,9.91,-0.02,-0.06,-0.01,13.55,-24.29,-48.85,1
23388,0.14,-0.01,9.96,-0.0,-0.05,-0.0,13.56,-24.16,-48.74,1
23528,0.19,0.01,9.95,-0.0,-0.07,0.01,13.12,-24.35,-48.1,1
23667,0.18,0.02,9.93,0.02,-0.04,-0.0,12.76,-24.32,-48.25,1
23813,0.15,-0.01,9.9,-0.01,-0.06,-0.02,13.39,-24.17,-48.82,1
23953,0.15,-0.01,9.93,0.01,-0.06,-0.0,13.5,-23.85,-48.61,1
24092,0.17,-0.04,9.89,0.01,-0.06,0.0,12.03,-24.07,-47.43,1
24232,0.16,-0.07,9.92,0.0,-0.06,-0.01,12.12,-24.22,-48.47,1
24372,0.24,-0.05,9.93,0.01,-0.06,-0.0,12.53,-23.72,-47.16,1
24511,0.21,-0.09,9.9,-0.0,-0.04,-0.01,12.63,-23.82,-48.45,1
24651,0.23,-0.11,9.91,0.02,-0.06,0.01,12.38,-23.94,-48.6,1
24791,0.25,-0.08,9.91,-0.0,-0.05,-0.01,12.39,-23.49,-48.51,1
24930,0.22,-0.1,9.91,0.0,-0.04,-0.02,11.94,-23.27,-47.24,1
