Time(ms),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
12495,-9.57,1.84,-0.29,0.02,-0.04,0.01,46.49,-23.74,22.07
12630,-9.58,1.85,-0.27,0.00,-0.04,-0.02,46.65,-23.25,21.86
12766,-9.58,1.91,-0.30,0.01,-0.05,-0.00,46.24,-24.19,21.60
12902,-9.65,1.76,-0.35,-0.00,-0.02,-0.01,46.43,-23.81,21.29
13038,-9.63,1.90,-0.44,0.01,-0.05,-0.02,46.08,-24.33,21.47
13173,-9.58,1.79,-0.38,0.01,-0.05,-0.01,45.98,-23.94,21.48
13315,-9.57,2.01,-0.24,0.00,-0.02,-0.00,45.76,-24.63,21.15
13451,-9.60,1.56,-0.29,0.03,-0.04,-0.01,46.48,-23.57,21.82
13586,-9.65,1.75,-0.35,0.01,-0.02,-0.01,45.16,-23.82,22.38
13722,-9.68,1.61,-0.26,0.05,-0.04,-0.01,45.97,-24.29,21.88
13858,-9.66,1.70,-0.45,0.03,-0.04,0.01,45.79,-23.94,20.96
13994,-9.68,1.61,-0.31,0.01,-0.02,0.01,46.02,-24.22,21.35
14129,-9.70,1.76,-0.31,0.00,-0.05,0.01,45.41,-23.41,21.86
14265,-9.70,1.60,-0.45,0.01,-0.06,-0.02,46.08,-24.44,21.47
14406,-9.63,1.89,-0.57,0.00,-0.02,-0.02,45.09,-24.07,20.91
14541,-9.65,1.73,-0.38,0.01,-0.03,0.01,45.66,-23.52,20.23
14677,-9.60,1.79,-0.31,-0.01,-0.03,0.01,45.70,-24.13,25.64
14813,-9.78,1.76,-0.25,-0.00,-0.06,-0.01,45.86,-25.08,21.21
14949,-9.72,1.63,-0.61,-0.00,-0.08,-0.01,45.57,-24.16,21.24
15084,-9.69,1.65,-0.41,0.01,-0.05,0.01,46.38,-24.33,20.75
15220,-9.71,1.67,-0.28,-0.04,-0.03,-0.01,45.54,-23.65,21.51
15356,-9.63,1.79,-0.20,-0.01,-0.04,-0.02,46.23,-24.09,22.27
15492,-9.70,1.68,-0.25,0.02,-0.07,0.01,46.10,-24.28,21.29
15632,-9.54,1.96,-0.50,-0.00,-0.05,-0.00,45.60,-23.91,21.62
15768,-9.60,1.95,-0.26,0.00,-0.04,0.01,46.02,-24.44,21.76
15904,-9.65,1.65,-0.39,0.02,-0.05,0.01,45.86,-24.31,22.35
16040,-9.64,1.61,-0.46,0.01,-0.06,-0.00,46.05,-23.76,22.45
16175,-9.60,1.83,-0.28,0.01,-0.03,-0.02,45.81,-24.19,22.51
16311,-9.63,1.68,-0.32,-0.00,-0.04,-0.02,45.89,-24.25,21.54
16447,-9.56,1.95,-0.49,0.01,-0.06,-0.01,45.62,-24.41,22.22
16583,-9.62,1.69,-0.34,0.00,-0.03,0.02,45.59,-24.86,22.03
16723,-9.65,1.70,-0.45,-0.01,-0.01,0.01,45.19,-24.66,22.64
16859,-9.68,1.62,-0.38,0.05,-0.05,0.00,46.00,-24.55,21.92
16995,-9.72,1.68,-0.35,-0.02,-0.04,-0.04,45.53,-24.25,22.26
17137,-9.70,1.94,-0.44,0.02,-0.03,0.04,45.75,-24.03,21.21
17273,-9.72,1.47,-0.29,-0.06,-0.08,0.01,46.54,-23.98,22.23
17409,-9.62,1.82,-0.65,-0.02,-0.04,-0.05,45.24,-24.82,22.19
17544,-9.64,1.97,-0.40,-0.00,-0.02,-0.03,46.45,-24.28,22.95
17680,-9.63,1.84,-0.16,0.03,-0.03,0.04,45.69,-24.90,21.95
17816,-9.60,1.72,-0.35,0.01,-0.07,-0.02,45.51,-24.66,22.42
17967,-9.59,1.98,-0.27,-0.00,-0.01,-0.03,46.11,-24.47,22.17
18113,-9.61,1.62,-0.30,0.04,-0.08,0.03,46.16,-24.33,22.16
18249,-9.63,1.88,-0.57,-0.01,-0.04,-0.04,45.83,-24.35,22.00
18384,-9.65,1.75,-0.21,0.00,-0.03,-0.01,45.86,-24.79,21.16
18520,-9.76,1.72,-0.38,0.01,-0.07,-0.01,45.64,-23.95,21.25
18656,-9.66,1.67,-0.46,-0.00,-0.04,-0.03,45.35,-24.22,21.05
18791,-9.65,1.89,-0.18,0.00,-0.04,-0.02,46.57,-24.31,22.10
18927,-9.69,1.67,-0.56,0.01,-0.06,0.04,46.62,-23.17,21.29
19069,-9.64,1.72,-0.34,-0.00,-0.03,-0.00,46.20,-24.31,20.89
19205,-9.65,1.77,-0.33,0.00,-0.05,-0.02,46.33,-24.92,20.29
19340,-9.65,1.77,-0.50,0.02,-0.05,0.00,46.39,-24.80,21.59
19476,-9.65,1.61,-0.40,0.02,-0.05,0.02,45.73,-24.14,20.75
19612,-9.66,1.52,-0.32,0.01,-0.03,-0.01,46.21,-24.82,21.09
19748,-9.65,1.81,-0.53,0.01,-0.02,-0.03,46.26,-24.06,22.22
19883,-9.66,1.83,-0.20,0.01,-0.03,-0.02,46.67,-23.81,20.59
20019,-9.69,1.69,-0.28,0.01,-0.07,0.01,46.21,-24.25,21.21
20155,-9.57,1.90,-0.44,0.03,-0.05,-0.00,45.88,-24.38,21.32
20295,-9.68,1.57,-0.10,0.01,-0.05,0.00,46.17,-24.73,20.80
20431,-9.65,1.58,-0.45,0.03,-0.06,-0.01,46.49,-24.83,21.46
20567,-9.61,1.84,-0.36,0.00,-0.02,-0.03,46.61,-24.38,21.63
20703,-9.70,1.63,-0.22,0.02,-0.04,0.01,47.08,-24.29,21.03
20838,-9.68,1.51,-0.39,-0.03,-0.05,-0.00,47.21,-24.36,21.47
20974,-9.67,1.73,-0.31,0.04,-0.04,-0.01,46.36,-23.93,21.84
21110,-9.61,1.81,-0.41,0.02,-0.04,-0.02,46.99,-24.09,22.08
21246,-9.62,1.97,-0.27,0.00,-0.03,-0.01,46.99,-24.13,21.95
21403,-9.59,1.45,-0.24,0.02,-0.07,0.06,47.03,-24.22,21.32
21542,-9.67,1.47,-0.60,0.02,-0.05,0.00,47.24,-24.90,20.07
21682,-9.62,1.85,-0.33,0.02,-0.01,-0.01,46.87,-23.88,21.85
21822,-9.61,2.05,-0.38,-0.02,-0.05,-0.06,45.82,-24.42,21.47
21961,-9.61,1.99,-0.16,-0.00,-0.04,0.02,46.13,-23.98,22.51
22101,-9.63,1.45,-0.49,0.01,-0.06,0.03,46.67,-23.66,20.96
22241,-9.60,1.63,-0.35,0.06,-0.03,-0.02,47.16,-24.22,21.76
22380,-9.65,1.89,-0.27,0.01,-0.01,-0.04,46.36,-24.20,21.88
22520,-9.64,1.70,-0.25,0.01,-0.06,-0.02,46.58,-24.51,21.51
22666,-9.65,1.77,-0.49,0.03,-0.06,0.02,46.55,-24.60,20.87
22805,-9.61,1.80,-0.37,0.00,-0.01,0.02,46.90,-24.25,21.62
22945,-9.61,1.76,-0.25,-0.02,-0.03,0.01,46.59,-24.32,21.48
23084,-9.63,1.82,-0.26,0.00,-0.03,-0.02,46.61,-24.29,21.78
23224,-9.62,1.73,-0.30,0.03,-0.04,-0.02,46.32,-23.91,21.19
23364,-9.57,1.99,-0.50,0.01,-0.03,-0.01,47.08,-24.67,21.53
23503,-9.61,1.70,-0.43,-0.01,-0.04,0.05,46.33,-24.31,22.64
23643,-9.67,1.66,-0.34,-0.01,-0.04,-0.01,46.51,-24.47,22.00
23788,-9.57,2.12,-0.41,0.00,-0.02,-0.04,46.17,-24.17,21.81
23928,-9.59,1.96,-0.30,0.00,-0.06,-0.01,46.48,-24.76,20.43
24068,-9.63,1.71,-0.50,-0.02,-0.06,0.01,46.01,-24.44,22.04
24208,-9.65,1.75,-0.58,0.03,-0.05,-0.01,46.21,-24.51,20.83
24347,-9.62,1.79,-0.34,0.03,-0.04,-0.02,46.39,-24.58,21.67
24487,-9.60,1.92,-0.27,0.01,-0.04,-0.01,45.94,-24.32,21.95
24626,-9.61,1.95,-0.16,-0.01,-0.04,0.01,45.73,-24.25,21.82
24766,-9.67,1.60,-0.46,0.00,-0.07,0.01,45.83,-24.66,21.69
24906,-9.63,1.78,-0.45,0.03,-0.02,-0.02,46.61,-24.73,22.86
25051,-9.66,1.84,-0.25,-0.01,-0.05,0.00,46.61,-24.55,22.64
25191,-9.66,1.78,-0.40,-0.02,-0.05,0.01,46.13,-23.94,21.29
25331,-9.58,1.69,-0.35,0.02,-0.07,-0.01,46.40,-24.88,22.16
25470,-9.62,1.84,-0.44,0.03,-0.02,-0.01,45.79,-24.92,21.98
25610,-9.52,1.79,-0.21,-0.01,-0.04,0.01,46.48,-24.45,21.50
25750,-9.67,1.70,-0.29,0.00,-0.04,0.00,45.94,-24.80,21.84
25889,-9.57,1.99,-0.53,0.02,-0.05,0.00,45.85,-24.19,21.86
26029,-9.66,1.87,-0.23,0.04,-0.05,0.02,46.45,-24.38,22.01
26168,-9.59,1.94,-0.79,0.05,-0.07,-0.00,45.98,-24.52,21.62
26313,-9.58,1.85,-0.37,0.02,-0.02,0.03,45.97,-24.01,22.01
26453,-9.70,1.69,-0.34,0.02,-0.03,0.00,46.55,-24.79,21.13
26592,-9.58,2.02,-0.33,0.04,-0.04,-0.02,46.16,-24.12,21.75
26732,-9.59,1.95,-0.16,0.02,-0.04,0.01,46.32,-24.41,21.50
26872,-9.66,1.75,-0.61,0.00,-0.04,-0.01,46.35,-23.93,20.26
