qw,qx,qy,qz,yaw,pitch,roll
-0.272313,0.720689,-0.367186,-0.521171,127.32309,72.023529,-178.185455
-0.272902,0.7141,-0.361226,-0.533941,126.949677,73.685295,-179.181519
-0.291657,0.693077,-0.35948,-0.552582,126.635796,77.330864,-178.171509
-0.310454,0.659966,-0.362667,-0.58011,118.331322,82.259727,175.314758
-0.334539,0.615003,-0.390551,-0.59776,76.24102,85.244164,137.980667
-0.358288,0.550653,-0.434888,-0.615853,15.383273,81.839035,83.80722
-0.370104,0.479807,-0.469024,-0.642508,354.514313,74.522377,68.082001
-0.378545,0.408827,-0.490857,-0.669788,344.415588,66.820625,62.154919
-0.376783,0.348524,-0.512254,-0.688588,341.116608,59.996655,62.323959
-0.367849,0.29131,-0.530627,-0.705869,339.417908,53.286537,63.456318
-0.359898,0.229084,-0.530454,-0.732533,335.918518,45.843643,61.510773
-0.337217,0.154402,-0.525098,-0.765969,333.942657,36.205181,60.211815
-0.320615,0.104626,-0.478748,-0.810587,331.490875,28.46389,53.759781
-0.327846,0.08206,-0.429241,-0.837572,328.180695,24.765863,47.106365
-0.329762,0.056065,-0.410036,-0.848514,326.506439,21.442778,45.061504
-0.33115,0.046142,-0.364362,-0.869162,325.080414,18.755331,39.540657
-0.33517,0.05094,-0.340431,-0.87702,324.308105,18.515179,36.421005
-0.347461,0.055507,-0.322372,-0.878781,322.615692,18.758547,33.892651
-0.35514,0.055456,-0.313718,-0.878847,321.521332,18.681231,32.71833
-0.365491,0.05808,-0.307811,-0.87652,320.198761,19.075953,31.738039
-0.372378,0.059586,-0.310181,-0.872676,319.415466,19.573017,31.835218
-0.377599,0.053683,-0.31826,-0.867894,318.775818,19.483273,32.886898
-0.384694,0.051299,-0.324968,-0.862419,317.952728,19.786077,33.624008
-0.391299,0.046474,-0.331814,-0.857097,317.132996,19.836842,34.472481
-0.396276,0.04343,-0.335517,-0.853521,316.500427,19.879997,34.920284
-0.402053,0.041566,-0.345285,-0.846992,315.901855,20.368595,36.034115
-0.409421,0.040955,-0.351409,-0.840952,315.067444,20.893454,36.636806
-0.419112,0.03954,-0.356031,-0.834275,313.885803,21.371115,37.036972
-0.426164,0.035089,-0.357824,-0.830124,312.906281,21.299282,37.26709
-0.435937,0.029781,-0.357004,-0.825598,311.504517,21.127048,37.166004
-0.443042,0.022892,-0.365682,-0.818204,310.568054,21.191471,38.319843
-0.449465,0.018845,-0.36824,-0.813644,309.677856,21.203918,38.651291
