timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
3.37,-8.67,3.19,1.43,0.04,-0.45,0.23
3.93,-9.35,2.91,2.57,-0.78,0.04,-0.10
4.49,-9.56,3.94,0.22,-0.84,-0.20,-1.42
5.06,-9.65,1.70,0.61,-0.33,-0.14,0.11
5.62,-9.60,2.44,1.32,0.25,-0.02,0.06
6.18,-8.97,2.71,0.98,0.04,0.11,-0.09
6.74,-8.61,4.08,2.69,0.50,-0.39,0.88
7.32,-7.42,4.24,3.56,0.19,-0.22,0.70
