Time(ms),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
2686,0.86,0.37,10.00,0.02,-0.04,-0.00,13.21,-30.04,-45.41
2822,0.85,0.30,9.80,0.02,-0.03,-0.00,12.44,-29.92,-44.40
2958,0.87,0.28,9.97,0.00,-0.06,-0.01,12.47,-30.15,-45.38
3093,0.90,0.36,9.92,0.00,-0.05,-0.01,12.26,-29.90,-45.10
3229,0.89,0.36,9.81,0.02,-0.04,-0.01,12.31,-30.05,-45.60
3365,0.85,0.24,9.92,0.02,-0.05,-0.01,12.04,-30.06,-45.12
3500,0.85,0.34,9.98,0.01,-0.05,-0.00,13.21,-30.12,-44.30
3636,0.92,0.40,9.93,-0.01,-0.06,-0.01,12.45,-30.06,-45.28
3777,0.92,0.32,9.96,0.02,-0.08,0.01,12.26,-30.40,-46.38
3913,0.90,0.32,9.95,0.02,-0.05,0.00,11.69,-30.01,-44.78
4048,0.93,0.41,10.01,0.01,-0.05,-0.00,12.19,-30.09,-46.08
4184,0.92,0.31,9.87,0.02,-0.05,-0.01,12.48,-29.22,-44.94
4320,0.94,0.34,9.80,0.01,-0.02,0.00,11.58,-30.44,-45.82
4456,0.90,0.29,9.90,0.01,-0.05,-0.00,12.70,-26.44,-45.18
4591,0.88,0.42,10.00,-0.02,-0.03,-0.00,12.66,-29.89,-45.67
4727,0.90,0.32,9.88,0.01,-0.03,0.01,12.23,-29.74,-45.81
4863,0.87,0.21,9.80,0.01,-0.05,-0.00,12.34,-29.23,-45.29
5004,0.93,0.35,9.87,0.02,-0.08,0.01,12.50,-29.60,-45.28
5140,0.98,0.25,9.89,0.00,-0.06,0.00,12.10,-29.20,-44.68
5276,0.93,0.25,9.91,0.02,-0.03,0.01,12.23,-29.79,-45.28
5427,0.98,0.31,10.00,-0.01,-0.03,0.00,12.26,-29.23,-45.25
5563,0.97,0.24,9.71,0.00,-0.06,0.00,11.96,-29.67,-44.87
5699,0.99,0.31,10.06,0.03,-0.04,-0.01,12.31,-29.87,-45.91
5834,0.90,0.29,9.97,0.01,-0.05,0.00,12.35,-28.62,-45.25
5970,0.91,0.22,9.78,0.01,-0.04,-0.01,11.91,-29.86,-44.88
6106,0.95,0.28,9.89,0.02,-0.04,-0.01,12.26,-29.35,-43.50
