Time(ms),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
3161,0.05,0.17,9.87,0.01,-0.06,-0.02,32.99,-25.21,-49.71
3297,-0.02,-0.05,9.91,0.02,-0.07,-0.00,32.97,-24.57,-49.56
3434,0.06,0.25,9.77,-0.01,-0.07,-0.00,33.02,-25.08,-49.20
3571,0.04,0.15,10.03,-0.01,-0.02,-0.02,34.04,-24.42,-45.51
3708,-0.02,0.25,10.12,-0.01,-0.01,0.00,33.41,-24.54,-49.59
3844,-0.02,0.10,10.10,-0.02,-0.04,0.00,33.70,-24.44,-52.06
3981,-0.09,0.03,9.76,-0.01,-0.06,-0.01,33.48,-24.48,-48.25
4118,-0.02,-0.10,10.04,-0.01,-0.05,0.01,33.63,-24.52,-48.68
4261,-0.07,0.30,9.85,-0.01,-0.02,-0.02,33.79,-24.42,-48.41
4399,-0.09,0.04,10.07,0.02,-0.08,0.01,34.10,-24.69,-47.69
4536,-0.06,-0.02,10.08,0.03,-0.05,0.01,33.32,-24.33,-48.44
4672,-0.05,0.19,9.92,0.02,-0.10,0.02,33.56,-25.05,-49.04
4809,0.03,0.18,9.80,0.02,-0.08,-0.01,33.29,-24.44,-48.57
4946,0.06,0.02,9.75,-0.01,-0.07,0.01,32.93,-24.86,-48.57
5082,0.05,0.06,9.96,-0.00,-0.05,0.01,32.68,-24.22,-48.45
5217,0.02,0.06,9.78,-0.06,-0.03,0.01,33.59,-24.13,-48.52
5353,-0.08,0.13,10.04,0.01,-0.01,-0.01,33.47,-24.14,-49.17
5494,-0.02,-0.06,10.04,0.00,-0.07,-0.01,33.35,-24.35,-48.01
5630,0.16,0.14,10.24,-0.00,-0.16,0.03,32.72,-24.92,-50.04
5766,0.08,0.11,9.76,-0.02,-0.08,-0.00,33.24,-24.83,-48.99
5902,0.15,0.05,9.86,0.00,-0.03,0.00,32.62,-24.33,-49.77
6038,0.10,-0.02,10.21,0.00,-0.03,-0.00,32.80,-23.98,-49.66
6173,0.11,0.05,9.84,-0.01,-0.11,-0.03,32.55,-24.58,-49.46
6309,0.28,-0.04,9.89,0.00,-0.10,0.02,32.34,-24.70,-49.28
6445,0.22,-0.04,9.85,0.00,-0.02,0.02,31.94,-24.54,-44.96
6586,0.21,-0.23,10.16,0.00,-0.03,0.01,32.72,-24.98,-49.58
6722,0.25,-0.19,9.84,0.03,-0.05,-0.01,31.72,-24.50,-48.77
6858,0.26,-0.03,9.79,0.03,-0.07,0.00,31.73,-24.47,-48.70
6994,0.25,-0.06,9.62,0.01,-0.05,0.01,31.13,-24.28,-49.40
7129,0.36,-0.29,10.50,0.17,-0.08,-0.02,31.86,-24.71,-49.74
7265,0.32,0.18,9.27,-0.03,-0.07,0.05,30.91,-24.54,-48.82
7401,0.38,-0.21,10.22,0.05,-0.02,0.01,32.18,-24.57,-49.90
7537,0.36,-0.36,9.80,0.08,-0.05,-0.03,31.06,-24.80,-48.99
7672,0.31,0.11,9.67,0.01,-0.05,-0.00,31.18,-24.73,-49.39
7814,0.35,0.15,9.82,0.04,-0.05,0.04,31.07,-24.86,-49.93
7950,0.41,-0.12,9.97,0.02,-0.04,0.01,30.62,-25.36,-49.97
8085,0.48,0.18,10.12,0.01,-0.05,-0.00,31.00,-25.33,-49.96
8221,0.53,-0.15,9.81,0.06,-0.03,-0.00,31.42,-24.38,-50.28
8357,0.43,0.03,9.75,-0.01,-0.06,-0.03,30.36,-25.01,-49.09
8493,0.49,-0.05,9.90,0.02,-0.04,-0.00,30.93,-24.52,-49.44
8628,0.45,0.20,9.80,-0.02,-0.07,-0.03,31.28,-24.41,-50.06
8764,0.49,0.01,9.95,-0.03,-0.05,-0.01,30.28,-24.61,-49.15
8900,0.55,-0.11,10.11,-0.03,-0.03,0.03,30.49,-24.50,-48.80
9041,0.47,0.04,9.78,0.01,-0.04,-0.00,31.12,-24.16,-49.28
9176,0.50,-0.41,9.88,0.07,-0.01,0.04,31.07,-23.82,-49.66
9312,0.43,-0.28,9.95,0.01,-0.04,0.01,31.42,-24.74,-52.34
9448,0.46,-0.08,10.17,0.01,-0.08,0.03,30.49,-24.63,-50.19
9583,0.47,-0.38,9.71,-0.01,-0.08,0.02,31.45,-24.58,-50.09
9719,0.45,-0.16,9.74,0.04,-0.02,0.01,29.96,-24.22,-49.69
9855,0.59,-0.04,10.11,0.02,-0.08,0.02,30.55,-24.17,-49.85
9991,0.56,-0.06,10.12,-0.02,-0.04,-0.04,29.95,-24.33,-49.52
10126,0.46,-0.04,9.77,-0.02,-0.08,0.04,30.71,-23.75,-49.53
10267,0.58,-0.27,9.75,-0.00,-0.08,0.02,29.96,-24.14,-50.31
10403,0.56,-0.27,9.94,-0.03,-0.05,0.01,30.23,-24.33,-50.06
10539,0.54,-0.39,10.07,-0.05,-0.03,-0.02,30.27,-23.60,-49.88
10674,0.55,-0.25,9.97,0.01,-0.02,-0.01,30.69,-23.55,-49.01
10810,0.54,-0.15,9.95,0.01,-0.01,-0.03,30.52,-23.93,-49.93
10946,0.49,-0.20,9.88,0.00,-0.06,-0.02,30.46,-23.46,-49.43
11082,0.53,-0.10,10.10,0.03,-0.05,0.02,31.31,-23.21,-50.72
11217,0.48,-0.45,9.91,0.04,-0.06,0.02,31.32,-23.37,-49.56
11358,0.61,-0.21,10.00,0.03,-0.04,-0.02,31.00,-23.79,-49.71
11494,0.59,-0.11,10.01,0.03,-0.04,-0.01,30.88,-23.87,-50.34
11629,0.57,-0.02,9.81,0.02,-0.03,-0.00,30.37,-23.24,-50.03
11765,0.57,-0.16,10.04,0.01,-0.04,0.01,30.46,-23.68,-50.19
11901,0.59,-0.29,10.14,-0.00,-0.03,-0.02,30.33,-23.03,-50.34
12037,0.52,-0.28,9.94,0.01,-0.04,-0.01,31.10,-23.63,-50.32
12172,0.52,-0.42,9.93,0.00,-0.04,0.00,29.60,-23.08,-48.73
12308,0.51,-0.35,9.86,0.02,-0.05,-0.01,29.58,-23.75,-50.50
12444,0.54,-0.31,9.83,0.02,-0.07,-0.01,30.56,-23.59,-50.20
12585,0.59,-0.10,9.68,0.03,-0.07,-0.02,30.53,-23.38,-49.65
12721,0.60,-0.33,10.19,0.04,-0.03,-0.00,30.46,-23.72,-49.63
12857,0.58,-0.24,9.93,0.02,-0.04,-0.01,29.86,-23.15,-49.74
12993,0.51,-0.56,9.87,0.00,-0.04,-0.00,29.79,-23.75,-48.92
13128,0.56,-0.40,9.84,0.02,-0.03,-0.01,30.49,-23.85,-49.65
13264,0.46,-0.22,9.68,-0.01,-0.09,0.02,30.24,-23.59,-49.77
13400,0.58,-0.60,10.14,-0.00,-0.05,0.01,30.21,-24.26,-49.39
13536,0.56,-0.58,9.97,0.03,-0.05,-0.01,29.95,-23.84,-50.12
13676,0.57,0.12,9.90,0.02,-0.05,-0.05,29.17,-23.93,-50.13
13813,0.56,-0.35,10.06,0.04,-0.02,-0.03,29.73,-23.75,-49.46
13949,0.59,-0.34,9.96,0.01,-0.08,0.01,29.61,-24.42,-49.34
14084,0.67,-0.38,9.73,0.03,-0.05,-0.00,29.71,-24.31,-50.75
14220,0.57,-0.09,9.98,-0.04,-0.08,0.02,29.25,-24.51,-49.31
14356,0.60,-0.40,9.91,-0.01,-0.00,-0.00,29.03,-24.23,-49.25
14492,0.60,-0.52,9.82,0.03,-0.02,-0.02,28.63,-23.90,-49.30
14627,0.60,-0.32,9.93,-0.02,-0.03,-0.02,29.28,-23.79,-49.15
14763,0.50,-0.03,10.12,-0.00,-0.03,0.00,29.60,-23.31,-49.55
14904,0.53,-0.58,10.08,0.03,-0.09,0.01,29.82,-23.85,-48.83
15040,0.58,-0.55,9.53,0.05,-0.08,-0.00,28.84,-23.46,-49.66
15175,0.57,-0.37,9.73,0.00,-0.06,-0.02,29.55,-23.41,-49.46
15311,0.59,-0.31,9.85,0.02,-0.06,-0.01,29.87,-23.37,-49.69
15447,0.61,-0.29,9.93,0.01,-0.04,-0.00,29.22,-22.96,-49.04
15583,0.58,-0.55,9.95,0.02,-0.04,0.02,29.47,-22.84,-49.81
15718,0.54,-0.42,9.59,0.03,-0.05,0.02,29.23,-23.38,-48.57
15854,0.59,-0.47,9.96,-0.01,-0.03,0.00,29.33,-22.89,-49.96
15995,0.64,-0.70,9.93,0.01,-0.04,0.00,29.28,-23.09,-50.75
16130,0.53,-0.39,9.89,0.03,-0.06,-0.02,29.86,-22.96,-50.01
16266,0.59,-0.36,9.98,-0.02,-0.08,-0.02,29.83,-23.30,-50.15
16402,0.64,-0.68,9.91,0.00,-0.06,-0.01,29.67,-23.15,-50.69
16538,0.66,-0.52,9.91,0.02,-0.05,-0.02,28.92,-22.79,-50.77
16673,0.61,-0.44,9.90,0.02,-0.04,-0.00,30.30,-23.33,-50.31
16809,0.67,-0.25,9.90,0.04,-0.04,-0.03,29.10,-22.93,-50.58
16945,0.64,-0.40,9.76,0.02,-0.06,0.02,29.26,-23.78,-50.57
17081,0.68,-0.49,9.99,-0.03,-0.08,0.02,29.85,-22.98,-50.18
17221,0.70,-0.52,10.10,-0.01,-0.05,0.00,29.66,-23.56,-50.42
17357,0.62,-0.39,9.72,0.00,-0.05,-0.00,29.87,-23.28,-50.00
17493,0.62,-0.55,10.05,-0.01,-0.05,0.00,29.60,-23.00,-49.96
17628,0.67,-0.38,9.78,0.02,-0.06,0.00,29.98,-22.86,-51.53
17764,0.65,-0.34,9.82,0.02,-0.03,-0.01,29.25,-22.89,-49.84
17900,0.67,-0.57,9.92,0.01,-0.04,0.01,29.66,-23.37,-50.69
18036,0.66,-0.53,9.63,-0.03,-0.05,-0.03,29.52,-22.95,-50.32
18171,0.59,-0.52,9.80,-0.02,-0.06,-0.02,29.60,-22.80,-50.54
18312,0.63,-0.37,9.89,0.02,-0.01,-0.01,29.93,-23.53,-50.18
18448,0.65,-0.41,9.90,0.03,-0.05,0.01,29.66,-23.25,-49.42
18583,0.71,-0.51,9.99,0.02,-0.02,0.02,29.51,-23.09,-49.53
18719,0.67,-0.52,9.93,0.01,-0.04,0.02,30.14,-22.52,-50.38
18855,0.69,-0.63,9.83,0.01,-0.04,0.01,29.26,-22.48,-50.15
18998,0.71,-0.73,9.95,-0.06,-0.04,0.01,30.34,-22.90,-49.37
19133,0.70,-0.61,9.92,0.04,-0.04,-0.02,28.95,-23.05,-50.85
19269,0.71,-0.53,10.08,0.02,-0.03,-0.01,29.64,-22.65,-49.12
19411,0.75,-0.59,9.85,-0.00,-0.05,-0.01,29.04,-23.06,-50.28
19551,0.73,-0.57,10.19,0.03,-0.01,-0.02,29.19,-26.02,-49.68
19687,0.70,-0.65,9.87,0.00,-0.06,0.00,29.79,-22.65,-49.30
19823,0.71,-0.60,9.73,-0.01,-0.05,-0.01,29.30,-22.23,-49.30
19958,0.74,-0.74,9.90,0.01,-0.04,-0.00,29.26,-21.79,-50.01
20094,0.73,-0.45,9.85,0.01,-0.04,-0.02,29.23,-22.14,-49.93
20230,0.70,-0.52,10.06,-0.00,-0.05,-0.00,28.81,-22.62,-50.34
20366,0.75,-0.50,9.86,-0.00,-0.07,0.02,28.75,-22.36,-49.88
20501,0.70,-0.74,9.87,0.02,-0.04,-0.01,28.54,-22.27,-49.94
20643,0.73,-0.54,10.13,0.00,-0.05,0.01,29.09,-22.62,-49.65
20779,0.78,-0.62,9.81,-0.00,-0.06,0.01,28.57,-22.49,-50.69
20915,0.74,-0.77,9.89,-0.00,-0.04,-0.01,28.73,-21.89,-49.24
21050,0.70,-1.61,8.77,-0.08,-0.27,0.06,28.47,-21.50,-49.33
21186,0.84,-0.68,9.86,0.02,-0.02,-0.00,28.38,-21.89,-49.05
21322,0.81,-0.55,9.81,0.01,-0.04,-0.00,28.41,-22.10,-48.47
21458,0.78,-0.80,9.89,0.01,-0.03,-0.00,28.40,-21.86,-49.36
21593,0.73,-0.97,9.88,-0.00,-0.05,-0.01,28.66,-22.07,-49.63
21729,0.69,-0.45,9.54,0.01,-0.07,-0.02,28.41,-22.07,-48.68
21886,0.80,-0.64,9.85,0.01,-0.07,0.01,28.69,-22.22,-49.74
