timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
60.89,-4.29,-7.83,4.32,0.01,-0.04,-0.01
61.46,-4.29,-7.84,4.38,-0.02,-0.04,-0.00
62.02,-4.28,-7.52,4.57,0.07,-0.07,0.04
62.58,-4.31,-7.72,4.46,0.01,-0.04,-0.01
63.14,-4.30,-7.70,4.55,0.16,-0.08,0.04
63.72,-4.29,-7.77,4.43,0.01,-0.04,-0.01
64.28,-4.27,-7.77,4.42,0.01,-0.05,-0.00
64.84,-4.20,-7.96,4.35,-0.00,-0.05,-0.03
65.40,-4.37,-7.89,4.41,-0.02,-0.07,-0.11
65.97,-4.58,-7.80,4.27,0.05,0.00,0.00
