Timestamp,qw,qx,qy,qz,yaw,pitch,roll,label
2130,0.999878,-0.001327,-0.015285,-0.000465,179.949005,-1.751689,-0.151357,1
2251,0.999534,-0.001473,-0.030315,-0.001161,179.871887,-3.474539,-0.164963,1
2372,0.998964,-0.001804,-0.045344,-0.001585,179.827194,-5.198088,-0.199148,1
2492,0.998168,-0.00245,-0.060353,-0.001895,179.798767,-6.920662,-0.269042,1
2612,0.997168,-0.004272,-0.074996,-0.002063,179.798676,-8.602888,-0.475722,1
2733,0.995954,-0.005215,-0.089631,-0.00264,179.748184,-10.286111,-0.577307,1
2854,0.994569,-0.00729,-0.103739,-0.003073,179.730591,-11.911192,-0.811842,1
2979,0.993038,-0.008565,-0.117393,-0.003572,179.700531,-13.486259,-0.9529,1
3100,0.991577,-0.00971,-0.129105,-0.002152,179.895645,-14.837408,-1.108475,1
3221,0.989991,-0.013266,-0.140465,-0.00143,180.053406,-16.150219,-1.543036,1
3342,0.988024,-0.013415,-0.153673,-0.002386,179.964371,-17.681686,-1.550259,1
3463,0.985925,-0.015716,-0.166387,-0.00344,179.905792,-19.159498,-1.810533,1
3607,0.983656,-0.017949,-0.179047,-0.005604,179.718475,-20.636806,-2.039463,1
3728,0.98146,-0.019451,-0.190442,-0.009061,179.358841,-21.973347,-2.146257,1
3850,0.979402,-0.021415,-0.200243,-0.014366,178.78096,-23.132154,-2.255618,1
4030,0.977896,-0.022455,-0.20673,-0.021649,177.927719,-23.909533,-2.192015,1
4150,0.977161,-0.022851,-0.209269,-0.028851,177.057129,-24.22357,-2.047582,1
4270,0.976723,-0.023224,-0.210414,-0.0345,176.373215,-24.370476,-1.940726,1
4390,0.976528,-0.023957,-0.210054,-0.041087,175.582138,-24.344057,-1.857275,1
4510,0.975923,-0.02518,-0.211196,-0.048255,174.731918,-24.497396,-1.811447,1
4632,0.975715,-0.026153,-0.210373,-0.055062,173.919769,-24.419115,-1.753901,1
4752,0.975507,-0.027034,-0.20954,-0.061153,173.193726,-24.338207,-1.705393,1
4872,0.9751,-0.026231,-0.209453,-0.067914,172.339752,-24.332979,-1.427998,1
4992,0.974701,-0.025259,-0.209194,-0.074494,171.503845,-24.303242,-1.136283,1
5112,0.974295,-0.025266,-0.208866,-0.080485,170.766373,-24.271524,-0.981294,1
5232,0.97373,-0.028116,-0.208846,-0.086219,170.133652,-24.30336,-1.178299,1
5352,0.973279,-0.027301,-0.208143,-0.093012,169.276627,-24.219969,-0.906133,1
5475,0.972556,-0.028197,-0.208686,-0.098901,168.570602,-24.298845,-0.852983,1
5595,0.972043,-0.028008,-0.208207,-0.104832,167.835022,-24.245325,-0.67846,1
5715,0.971204,-0.028846,-0.209085,-0.110483,167.15358,-24.362158,-0.618313,1
5835,0.970533,-0.02991,-0.209674,-0.114893,166.632111,-24.447741,-0.621615,1
5955,0.970064,-0.027669,-0.209016,-0.12048,165.88562,-24.342134,-0.208584,1
6136,0.969463,-0.028742,-0.208669,-0.125558,165.286301,-24.318615,-0.20929,1
6256,0.968938,-0.029916,-0.208177,-0.130072,164.760223,-24.280441,-0.239905,1
6379,0.96839,-0.028914,-0.207781,-0.134919,164.136108,-24.219139,0.004249,1
6499,0.967886,-0.029194,-0.207735,-0.138499,163.699402,-24.218307,0.064628,1
6619,0.967456,-0.029971,-0.206515,-0.14309,163.158752,-24.089579,0.069663,1
6739,0.966511,-0.028171,-0.207882,-0.147785,162.518921,-24.215338,0.439049,1
6859,0.965952,-0.0302,-0.207431,-0.151622,162.097351,-24.198177,0.286342,1
6979,0.96514,-0.029528,-0.207974,-0.156112,161.516922,-24.246813,0.498724,1
7099,0.964321,-0.029708,-0.208428,-0.160476,160.973877,-24.300209,0.603468,1
7221,0.96371,-0.030167,-0.208043,-0.164509,160.48645,-24.262154,0.647694,1
7341,0.963018,-0.030471,-0.208009,-0.1685,159.996735,-24.261425,0.717179,1
7461,0.962665,-0.031703,-0.206852,-0.171683,159.642242,-24.151047,0.627064,1
7581,0.962356,-0.03105,-0.205565,-0.175046,159.219635,-23.986616,0.765356,1
7701,0.961898,-0.03334,-0.204615,-0.178225,158.889374,-23.923847,0.551292,1
7821,0.960996,-0.033812,-0.205353,-0.182115,158.407944,-24.016602,0.615292,1
7941,0.960263,-0.031628,-0.205689,-0.185952,157.871094,-24.003622,0.988216,1
8063,0.959614,-0.03133,-0.205823,-0.189175,157.45929,-24.008696,1.113056,1
8245,0.958594,-0.031032,-0.20733,-0.192719,156.990845,-24.170435,1.282434,1
8365,0.957782,-0.033339,-0.208202,-0.195414,156.699692,-24.321333,1.100845,1
8485,0.95758,-0.03375,-0.206846,-0.197759,156.431885,-24.17296,1.078714,1
8605,0.957054,-0.034725,-0.205925,-0.201066,156.052109,-24.087275,1.025711,1
8725,0.956171,-0.033789,-0.206572,-0.20473,155.561401,-24.133991,1.253677,1
8847,0.955072,-0.035532,-0.208725,-0.207367,155.245575,-24.420591,1.176419,1
8967,0.954906,-0.037554,-0.208465,-0.208036,155.21463,-24.440889,0.945106,1
9087,0.955233,-0.039228,-0.20499,-0.209672,155.092682,-24.084017,0.69142,1
9207,0.954297,-0.03742,-0.205141,-0.21407,154.494064,-24.051142,1.029626,1
9327,0.953517,-0.036893,-0.204924,-0.217812,154.013367,-24.008295,1.186425,1
9447,0.953009,-0.035511,-0.204638,-0.220519,153.643311,-23.935322,1.414871,1
9567,0.952403,-0.035192,-0.204858,-0.222971,153.323959,-23.948019,1.524885,1
9689,0.951789,-0.037066,-0.205181,-0.22498,153.111069,-24.032656,1.365517,1
9809,0.951116,-0.036293,-0.204924,-0.228164,152.694656,-23.977261,1.534914,1
9929,0.950172,-0.035748,-0.206215,-0.231004,152.304688,-24.104094,1.716353,1
10049,0.949806,-0.035057,-0.20578,-0.232995,152.043045,-24.031433,1.838166,1
10169,0.94936,-0.035906,-0.205361,-0.235041,151.810791,-24.004074,1.779096,1
10349,0.948841,-0.035994,-0.205911,-0.23664,151.602615,-24.065979,1.82936,1
10469,0.948533,-0.036039,-0.205582,-0.238148,151.417816,-24.026983,1.854047,1
10592,0.948138,-0.035615,-0.205595,-0.239767,151.202789,-24.013035,1.948219,1
10712,0.947696,-0.034227,-0.205498,-0.241791,150.915405,-23.95702,2.163657,1
10832,0.947359,-0.034014,-0.205636,-0.243022,150.752502,-23.963474,2.226535,1
10952,0.946974,-0.035215,-0.205136,-0.244768,150.567322,-23.93853,2.114734,1
11072,0.94674,-0.035017,-0.203825,-0.246788,150.327454,-23.7798,2.148083,1
11192,0.946001,-0.035828,-0.205108,-0.248435,150.11734,-23.945473,2.139929,1
11312,0.945739,-0.034945,-0.204766,-0.249837,149.924561,-23.876823,2.270004,1
11434,0.94541,-0.034851,-0.204219,-0.251539,149.715454,-23.808014,2.307805,1
11554,0.945167,-0.036281,-0.203663,-0.252699,149.610184,-23.786364,2.151232,1
11674,0.94472,-0.037558,-0.203396,-0.254393,149.428986,-23.791786,2.036835,1
11794,0.944451,-0.035474,-0.202677,-0.256256,149.15657,-23.64188,2.306473,1
11914,0.944024,-0.037248,-0.202687,-0.257569,149.030243,-23.695105,2.133265,1
12034,0.943863,-0.036315,-0.202807,-0.258197,148.927338,-23.678055,2.263777,1
12154,0.943808,-0.035907,-0.202375,-0.258792,148.849625,-23.61516,2.312346,1
12339,0.943467,-0.035789,-0.202286,-0.260117,148.680145,-23.598158,2.358176,1
12459,0.942916,-0.03623,-0.202534,-0.261855,148.465363,-23.635666,2.361351,1
12579,0.942744,-0.034965,-0.201937,-0.263104,148.288193,-23.524981,2.521249,1
12699,0.942686,-0.036037,-0.200778,-0.264055,148.210861,-23.426476,2.379064,1
12819,0.94255,-0.035028,-0.200676,-0.264751,148.101608,-23.38092,2.51183,1
12939,0.942386,-0.033464,-0.20105,-0.265252,147.996841,-23.371187,2.721455,1
13062,0.942235,-0.034276,-0.200343,-0.266221,147.903946,-23.315245,2.626207,1
13182,0.941891,-0.035026,-0.200341,-0.267338,147.778671,-23.336212,2.567769,1
13302,0.941486,-0.035872,-0.200636,-0.268428,147.654053,-23.393951,2.508283,1
13422,0.941202,-0.035893,-0.201021,-0.269135,147.55806,-23.435879,2.538591,1
13542,0.941137,-0.036187,-0.200144,-0.269974,147.472855,-23.344896,2.494056,1
13662,0.940985,-0.035303,-0.199969,-0.27075,147.35762,-23.29413,2.611138,1
13782,0.940539,-0.034849,-0.201497,-0.271226,147.260681,-23.449184,2.733284,1
13903,0.940345,-0.034739,-0.200787,-0.272436,147.116592,-23.36244,2.751643,1
14023,0.939979,-0.03551,-0.201055,-0.273398,147.006546,-23.41523,2.696957,1
14143,0.940053,-0.035757,-0.2004,-0.273594,146.998474,-23.349497,2.648807,1
14263,0.939686,-0.033308,-0.201522,-0.274339,146.829773,-23.391386,2.9961,1
14445,0.939475,-0.034515,-0.201266,-0.2751,146.764145,-23.400618,2.865813,1
14565,0.938952,-0.032702,-0.202725,-0.276033,146.578873,-23.500198,3.157105,1
14685,0.938898,-0.031656,-0.201792,-0.277021,146.446945,-23.357204,3.269497,1
14807,0.938554,-0.031813,-0.20261,-0.277571,146.365326,-23.452091,3.297063,1
14927,0.938525,-0.033623,-0.202052,-0.277862,146.378372,-23.449848,3.072489,1
15047,0.938686,-0.032246,-0.202071,-0.277468,146.397934,-23.406799,3.223234,1
15167,0.938434,-0.031975,-0.201359,-0.278864,146.227081,-23.313278,3.264146,1
15287,0.938421,-0.030881,-0.200798,-0.279436,146.140747,-23.211384,3.384741,1
15407,0.9386,-0.03085,-0.19981,-0.279547,146.144211,-23.0996,3.353216,1
15533,0.938398,-0.030922,-0.19971,-0.280289,146.053116,-23.088236,3.360281,1
15653,0.938215,-0.028406,-0.200571,-0.28055,145.949539,-23.097414,3.692441,1
15773,0.937787,-0.029652,-0.201825,-0.280952,145.901627,-23.278379,3.606987,1
15893,0.937545,-0.029339,-0.201309,-0.282159,145.750702,-23.205484,3.654894,1
16013,0.937104,-0.028946,-0.20183,-0.283291,145.587952,-23.245489,3.750523,1
16133,0.937058,-0.027693,-0.20155,-0.28377,145.505188,-23.169004,3.897343,1
16253,0.936768,-0.027792,-0.202523,-0.284023,145.456146,-23.279778,3.930969,1
16434,0.936827,-0.028689,-0.201092,-0.284755,145.409866,-23.148476,3.789482,1
16554,0.936833,-0.030005,-0.200231,-0.285208,145.396912,-23.096552,3.614876,1
16679,0.936727,-0.027604,-0.200505,-0.285606,145.289444,-23.041868,3.914177,1
16799,0.937018,-0.028852,-0.199474,-0.285248,145.3815,-22.971966,3.719649,1
16919,0.936612,-0.027658,-0.200473,-0.285998,145.241241,-23.038599,3.916869,1
17039,0.936455,-0.027512,-0.200473,-0.286526,145.170792,-23.031265,3.947479,1
17159,0.936169,-0.02628,-0.200802,-0.287345,145.033661,-23.021179,4.124395,1
17280,0.936422,-0.028786,-0.199524,-0.287171,145.134018,-22.967632,3.778985,1
17400,0.936476,-0.028331,-0.198662,-0.287639,145.081238,-22.853836,3.809528,1
17520,0.936259,-0.028136,-0.199445,-0.287821,145.038895,-22.933434,3.867814,1
17640,0.936819,-0.028335,-0.197495,-0.287325,145.143631,-22.725521,3.754718,1
17760,0.936935,-0.027298,-0.197729,-0.286884,145.173538,-22.717049,3.87255,1
17880,0.937085,-0.027874,-0.196792,-0.286984,145.190643,-22.632639,3.771448,1
18000,0.93689,-0.026527,-0.197557,-0.287223,145.117493,-22.669598,3.963502,1
18121,0.936901,-0.026838,-0.196887,-0.287617,145.086655,-22.60433,3.911041,1
18241,0.936868,-0.027091,-0.196537,-0.287941,145.057358,-22.572906,3.876118,1
18361,0.936708,-0.026493,-0.196926,-0.288252,144.997955,-22.593941,3.968458,1
18543,0.936597,-0.026587,-0.197208,-0.28841,144.974304,-22.627865,3.972894,1
18663,0.936522,-0.026451,-0.197445,-0.288503,144.95517,-22.649023,4.000367,1
18783,0.936665,-0.026826,-0.196615,-0.288572,144.970108,-22.569698,3.925801,1
18904,0.936723,-0.026216,-0.196211,-0.288715,144.946976,-22.502752,3.983791,1
19024,0.936581,-0.026439,-0.196089,-0.289236,144.887665,-22.494829,3.966334,1
19144,0.936249,-0.025742,-0.196944,-0.289793,144.785797,-22.562826,4.094973,1
19264,0.936228,-0.027489,-0.19709,-0.2896,144.843918,-22.641518,3.894383,1
19384,0.935975,-0.02656,-0.197228,-0.29041,144.71875,-22.620577,4.027704,1
19504,0.93541,-0.026734,-0.198503,-0.291346,144.578232,-22.764254,4.08272,1
19624,0.934898,-0.0265,-0.200322,-0.291765,144.48381,-22.956076,4.194124,1
