Time(ms),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
12695,9.87,0.99,0.82,-0.01,-0.04,-0.02,-24.64,-31.03,1.11
12831,9.67,0.70,0.94,0.00,-0.01,0.03,-24.90,-30.68,1.15
12966,9.66,0.73,0.88,0.04,-0.03,-0.02,-24.25,-30.75,0.69
13102,9.71,0.85,0.96,0.03,-0.03,-0.01,-24.45,-30.52,1.24
13238,9.70,0.83,1.01,0.02,-0.05,0.01,-24.42,-30.49,0.10
13374,9.68,0.83,1.01,0.02,-0.05,0.01,-24.32,-30.53,-0.26
13509,9.62,0.98,0.54,0.26,-0.09,-0.02,-24.50,-30.09,-0.04
13650,9.66,0.78,0.89,0.03,-0.07,0.01,-24.74,-30.06,0.73
13786,9.68,0.78,1.01,0.03,-0.06,0.00,-25.12,-30.61,1.43
13921,9.62,0.71,0.79,0.03,-0.07,0.00,-25.11,-30.34,1.10
14057,9.69,0.71,1.01,0.02,-0.03,0.00,-25.12,-30.30,0.32
14193,9.71,0.76,0.99,0.02,-0.06,-0.01,-25.07,-29.93,0.91
14329,9.71,0.79,0.99,0.01,-0.06,0.00,-25.71,-29.71,0.99
14464,9.74,0.78,1.04,0.00,-0.04,-0.01,-25.86,-30.36,1.53
14600,9.68,0.72,1.02,-0.00,-0.01,0.00,-25.96,-30.43,0.57
14736,9.64,0.75,0.92,0.02,-0.05,-0.01,-25.14,-30.21,-0.66
14877,9.67,0.77,1.02,0.01,-0.06,0.01,-26.16,-30.74,0.25
15013,9.67,0.74,1.10,0.02,-0.04,-0.00,-24.86,-30.05,1.13
15149,9.74,0.82,1.11,0.00,-0.04,-0.01,-25.11,-30.43,-0.19
15285,9.69,0.77,1.04,-0.00,-0.03,-0.01,-24.98,-30.33,0.28
15420,9.65,0.72,0.96,-0.01,-0.02,-0.01,-24.80,-30.53,-0.01
15556,9.70,0.78,1.03,0.01,-0.04,0.01,-25.11,-30.88,0.76
15692,9.66,0.70,1.05,0.01,-0.05,0.01,-24.79,-30.15,1.11
15828,9.79,1.06,0.91,0.22,-0.10,-0.01,-25.12,-29.98,0.58
15963,9.73,0.69,1.17,0.00,-0.04,-0.01,-25.12,-30.24,-0.51
16104,9.73,0.76,1.11,0.00,-0.03,-0.01,-25.02,-30.39,-0.58
16240,9.68,0.79,1.04,-0.00,-0.02,-0.01,-24.33,-30.55,0.61
16375,9.68,0.74,0.93,0.02,-0.05,-0.01,-24.86,-30.56,0.44
16511,9.72,0.71,1.11,0.01,-0.03,-0.01,-24.45,-30.43,3.48
16647,9.64,0.76,0.89,0.02,-0.04,0.02,-24.25,-30.20,0.29
16783,9.62,0.75,0.91,0.02,-0.06,-0.01,-24.74,-29.52,0.47
16918,9.66,0.70,0.94,0.03,-0.07,-0.01,-24.74,-30.11,-0.75
17054,9.70,0.71,1.11,0.03,-0.05,0.00,-24.80,-30.20,-0.80
17190,9.66,0.73,1.05,0.01,-0.04,-0.01,-25.20,-29.55,-0.35
17331,9.75,0.82,1.10,0.00,-0.05,-0.01,-24.71,-29.98,0.09
17466,9.71,0.76,1.02,0.02,-0.04,0.01,-24.67,-29.67,0.18
17602,9.62,0.69,1.05,0.03,-0.04,0.00,-25.18,-29.93,-0.57
17738,9.65,0.73,1.06,0.02,-0.05,-0.02,-24.98,-29.77,-1.70
17874,9.71,0.78,1.13,0.02,-0.06,-0.02,-25.10,-30.20,-0.12
18009,9.71,0.78,1.09,0.02,-0.02,-0.01,-25.40,-29.83,0.44
18145,9.66,0.76,1.02,0.01,-0.03,-0.00,-25.04,-29.79,-0.56
18281,9.67,0.71,1.12,0.00,-0.04,-0.01,-25.01,-30.33,-0.66
18421,9.65,0.68,1.03,0.02,-0.05,0.01,-25.56,-29.96,-0.35
18557,9.69,0.64,1.13,0.03,-0.06,0.00,-25.12,-30.21,-1.34
18693,9.69,0.67,1.13,0.02,-0.05,-0.01,-25.52,-30.12,0.19
18829,9.76,0.74,1.24,0.06,-0.05,-0.01,-25.62,-30.39,-1.49
18964,9.67,0.78,1.08,-0.00,-0.04,0.00,-24.83,-31.07,-0.35
19106,9.63,0.74,1.00,0.02,-0.04,-0.02,-24.79,-31.06,0.25
19242,9.77,0.83,1.18,0.02,-0.07,-0.00,-24.96,-30.44,-3.58
19377,9.65,0.82,1.03,0.01,-0.04,0.01,-24.58,-30.72,0.66
19513,9.56,0.70,0.97,0.00,-0.03,0.00,-24.74,-31.18,-0.38
19654,9.66,0.73,1.02,0.02,-0.07,-0.02,-24.69,-30.44,-0.06
19790,9.71,0.83,1.25,0.04,-0.06,-0.02,-25.11,-30.66,1.20
19925,9.70,0.81,1.10,0.03,-0.04,-0.01,-25.52,-30.23,3.55
20061,9.66,0.75,1.09,0.01,-0.05,-0.01,-25.37,-30.53,0.53
20204,9.68,0.77,1.10,0.02,-0.06,-0.01,-24.98,-31.01,0.19
20339,9.70,0.86,1.08,0.00,-0.05,-0.00,-24.61,-30.75,0.34
20475,9.66,0.79,1.12,0.01,-0.06,-0.00,-24.42,-30.78,-0.28
20611,9.77,0.91,1.17,-0.00,-0.03,-0.02,-24.79,-30.61,-0.98
20747,9.70,0.83,0.98,0.01,-0.03,-0.01,-25.07,-30.96,0.51
20888,9.68,0.85,1.03,0.00,-0.03,0.00,-25.26,-30.06,-0.19
21024,9.61,0.75,1.09,0.02,-0.05,0.00,-25.50,-30.91,0.39
21160,9.70,0.82,1.10,0.02,-0.03,-0.00,-24.74,-30.44,0.67
21295,9.68,0.75,1.02,0.03,-0.05,0.00,-24.88,-30.24,0.73
21431,9.69,0.78,1.21,0.01,-0.05,0.00,-24.61,-29.93,1.08
21567,9.69,0.76,0.95,0.02,-0.04,-0.01,-24.25,-30.78,0.42
21703,9.61,0.74,0.89,0.02,-0.06,-0.00,-24.29,-30.96,1.11
21838,9.64,0.82,0.99,0.02,-0.05,-0.01,-24.13,-30.47,0.22
21974,9.71,0.90,1.05,0.03,-0.05,-0.01,-24.42,-30.71,1.94
22130,9.71,0.87,1.12,0.03,-0.04,-0.00,-24.61,-30.56,1.32
22270,9.66,0.79,1.08,0.02,-0.05,0.01,-24.51,-31.19,-0.29
22410,9.65,0.78,1.06,0.01,-0.05,0.00,-24.60,-30.62,0.70
22549,9.74,0.81,1.05,0.03,-0.06,-0.00,-24.42,-30.37,0.61
22689,9.72,0.80,1.29,0.01,-0.03,0.01,-24.77,-29.47,0.47
22829,9.72,0.73,1.32,-0.01,-0.02,-0.01,-24.92,-29.93,-0.67
22968,9.68,0.76,1.03,0.03,-0.01,-0.02,-25.31,-29.98,0.75
23108,9.73,0.86,1.22,0.03,-0.05,0.01,-25.68,-29.42,1.05
23248,9.67,0.74,1.27,0.00,-0.04,0.01,-26.25,-29.73,-0.15
23393,9.64,0.71,1.09,0.01,-0.04,-0.00,-25.88,-29.93,-0.37
23533,9.67,0.80,0.95,0.04,-0.05,-0.00,-26.03,-29.61,0.26
23672,9.64,0.74,1.12,0.03,-0.07,-0.02,-25.84,-30.04,-0.77
23812,9.74,0.79,1.21,0.03,-0.06,-0.02,-26.34,-30.81,-0.22
23952,9.75,0.83,1.24,0.02,-0.04,0.01,-26.32,-30.58,0.15
24091,9.65,0.79,1.19,0.02,-0.03,0.00,-26.35,-30.42,-0.98
24231,9.70,0.89,1.09,-0.01,-0.05,-0.00,-26.41,-30.80,-0.80
24371,9.58,0.69,0.93,0.01,-0.07,-0.00,-26.31,-29.83,3.13
24515,9.65,0.77,1.03,0.03,-0.06,0.01,-25.46,-29.77,0.42
24655,9.68,0.82,1.08,0.03,-0.06,-0.00,-25.80,-30.28,0.79
24794,9.69,0.78,1.23,0.03,-0.05,-0.01,-25.10,-30.36,-0.69
24934,9.74,0.82,1.19,0.01,-0.03,-0.01,-26.25,-29.82,-0.10
25074,9.68,0.76,1.11,0.02,-0.05,0.00,-25.26,-30.56,1.04
25213,9.69,0.75,1.11,0.01,-0.04,0.00,-25.08,-29.93,0.60
25353,9.73,0.76,1.22,0.02,-0.04,-0.00,-24.47,-30.43,0.15
25493,9.74,0.77,1.22,0.03,-0.03,-0.01,-26.12,-29.64,-0.64
25632,9.70,0.75,1.37,-0.04,-0.03,0.01,-25.81,-30.34,-0.56
25777,9.67,0.76,1.17,-0.02,-0.04,0.00,-25.05,-30.24,-0.50
25916,9.69,0.77,1.10,0.03,-0.04,-0.01,-24.60,-30.62,-0.34
26056,9.70,0.81,1.07,0.02,-0.05,0.02,-24.88,-31.06,-0.06
26196,9.59,0.57,1.03,0.01,-0.06,0.00,-24.96,-30.34,-0.64
26335,9.83,0.90,1.19,-0.07,0.03,0.02,-24.29,-30.27,-1.04
26475,9.53,0.44,0.95,0.01,-0.10,0.02,-25.15,-30.18,-0.06
26615,9.75,0.61,1.11,0.01,-0.11,0.00,-25.31,-30.53,1.34
26754,9.73,0.57,1.31,0.00,-0.06,0.02,-25.10,-30.59,0.88
26894,9.78,0.74,1.02,-0.02,-0.03,-0.00,-25.49,-29.64,1.30
27040,9.64,0.55,0.94,0.03,-0.06,0.02,-25.36,-30.27,1.40
27179,9.74,0.57,1.10,0.01,-0.02,-0.02,-25.33,-30.20,0.32
27319,9.69,0.52,0.78,0.01,-0.04,-0.01,-25.39,-29.74,-0.47
