timestamp,filtered_x,filtered_y,filtered_z
3.37,0.0,0.0,0.0
3.93,-1.924231103241816e-06,5.988783433618914e-07,-1.4899928542749463e-06
4.49,-4.4220602216982855e-06,1.5649027318306559e-06,-3.851861079543926e-06
5.06,-7.2955642327745675e-06,2.267645581148064e-06,-6.584088380991041e-06
5.62,-1.0250621142486377e-05,3.0082116607207397e-06,-9.270178588806476e-06
6.18,-1.3117403112235642e-05,3.816206529062266e-06,-1.2007137339331997e-05
6.74,-1.588110460709733e-05,4.915584617650555e-06,-1.4432467152188738e-05
7.32,-1.847940718733656e-05,6.217032889997532e-06,-1.665827287063535e-05
