Timestamp,qw,qx,qy,qz,yaw,pitch,roll
2130,0.999878,-0.001327,-0.015285,-0.000465,179.949005,-1.751689,-0.151357
2251,0.999534,-0.001473,-0.030315,-0.001161,179.871887,-3.474539,-0.164963
2372,0.998964,-0.001804,-0.045344,-0.001585,179.827194,-5.198088,-0.199148
2492,0.998168,-0.002450,-0.060353,-0.001895,179.798767,-6.920662,-0.269042
2612,0.997168,-0.004272,-0.074996,-0.002063,179.798676,-8.602888,-0.475722
2733,0.995954,-0.005215,-0.089631,-0.002640,179.748184,-10.286111,-0.577307
2854,0.994569,-0.007290,-0.103739,-0.003073,179.730591,-11.911192,-0.811842
2979,0.993038,-0.008565,-0.117393,-0.003572,179.700531,-13.486259,-0.952900
3100,0.991577,-0.009710,-0.129105,-0.002152,179.895645,-14.837408,-1.108475
3221,0.989991,-0.013266,-0.140465,-0.001430,180.053406,-16.150219,-1.543036
3342,0.988024,-0.013415,-0.153673,-0.002386,179.964371,-17.681686,-1.550259
3463,0.985925,-0.015716,-0.166387,-0.003440,179.905792,-19.159498,-1.810533
3607,0.983656,-0.017949,-0.179047,-0.005604,179.718475,-20.636806,-2.039463
3728,0.981460,-0.019451,-0.190442,-0.009061,179.358841,-21.973347,-2.146257
3850,0.979402,-0.021415,-0.200243,-0.014366,178.780960,-23.132154,-2.255618
4030,0.977896,-0.022455,-0.206730,-0.021649,177.927719,-23.909533,-2.192015
4150,0.977161,-0.022851,-0.209269,-0.028851,177.057129,-24.223570,-2.047582
4270,0.976723,-0.023224,-0.210414,-0.034500,176.373215,-24.370476,-1.940726
4390,0.976528,-0.023957,-0.210054,-0.041087,175.582138,-24.344057,-1.857275
4510,0.975923,-0.025180,-0.211196,-0.048255,174.731918,-24.497396,-1.811447
4632,0.975715,-0.026153,-0.210373,-0.055062,173.919769,-24.419115,-1.753901
4752,0.975507,-0.027034,-0.209540,-0.061153,173.193726,-24.338207,-1.705393
4872,0.975100,-0.026231,-0.209453,-0.067914,172.339752,-24.332979,-1.427998
4992,0.974701,-0.025259,-0.209194,-0.074494,171.503845,-24.303242,-1.136283
5112,0.974295,-0.025266,-0.208866,-0.080485,170.766373,-24.271524,-0.981294
5232,0.973730,-0.028116,-0.208846,-0.086219,170.133652,-24.303360,-1.178299
5352,0.973279,-0.027301,-0.208143,-0.093012,169.276627,-24.219969,-0.906133
5475,0.972556,-0.028197,-0.208686,-0.098901,168.570602,-24.298845,-0.852983
5595,0.972043,-0.028008,-0.208207,-0.104832,167.835022,-24.245325,-0.678460
5715,0.971204,-0.028846,-0.209085,-0.110483,167.153580,-24.362158,-0.618313
5835,0.970533,-0.029910,-0.209674,-0.114893,166.632111,-24.447741,-0.621615
5955,0.970064,-0.027669,-0.209016,-0.120480,165.885620,-24.342134,-0.208584
6136,0.969463,-0.028742,-0.208669,-0.125558,165.286301,-24.318615,-0.209290
6256,0.968938,-0.029916,-0.208177,-0.130072,164.760223,-24.280441,-0.239905
