Time(ms),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
13084,0.29,-0.25,10.07,0.03,-0.04,-0.01,17.00,-11.40,20.15
13225,0.23,-0.35,9.88,0.00,-0.05,-0.01,17.00,-11.40,20.15
13366,0.23,-0.43,9.95,0.01,-0.06,-0.01,17.00,-11.40,20.15
13506,0.42,-0.24,10.10,0.02,-0.03,-0.01,17.00,-11.40,20.15
13647,0.29,-0.22,9.89,-0.02,-0.04,-0.02,17.00,-11.40,20.15
13793,0.21,-0.35,9.78,0.02,-0.04,-0.01,17.00,-11.40,20.15
13934,0.25,-0.36,9.94,-0.02,-0.06,-0.00,17.00,-11.40,20.15
14075,0.27,-0.42,9.90,0.01,-0.06,-0.00,17.00,-11.40,20.15
14215,0.22,-0.36,10.03,-0.02,-0.06,-0.02,17.00,-11.40,20.15
14356,0.36,-0.46,9.90,0.01,-0.06,0.00,17.00,-11.40,20.15
14497,0.33,-0.37,10.09,0.03,-0.03,0.02,17.00,-11.40,20.15
14637,0.27,-0.41,9.92,0.03,-0.04,-0.00,17.00,-11.40,20.15
14778,0.29,-0.43,9.96,0.01,-0.04,0.00,17.00,-11.40,20.15
14918,0.26,-0.44,9.91,-0.02,-0.07,0.00,17.00,-11.40,20.15
15065,0.40,-0.35,9.89,0.01,-0.05,-0.01,17.00,-11.40,20.15
15206,0.33,-0.44,10.02,0.01,-0.04,0.01,17.00,-11.40,20.15
15346,0.31,-0.37,10.19,0.02,-0.00,0.02,17.00,-11.40,20.15
15487,0.29,-0.41,9.79,-0.03,-0.06,-0.02,17.00,-11.40,20.15
15627,0.32,-0.49,9.86,0.00,-0.05,-0.01,17.00,-11.40,20.15
15768,0.21,-0.50,10.04,0.04,-0.04,0.00,17.00,-11.40,20.15
15909,0.30,-0.44,10.02,0.00,-0.05,0.01,17.00,-11.40,20.15
16049,0.29,-0.32,9.94,0.02,-0.03,0.01,17.00,-11.40,20.15
16196,0.34,-0.28,9.96,0.00,-0.06,-0.03,17.00,-11.40,20.15
16336,0.37,-0.33,9.96,-0.01,-0.06,-0.01,17.00,-11.40,20.15
16477,0.29,-0.37,10.01,-0.00,-0.04,0.01,17.00,-11.40,20.15
16618,0.37,-0.40,9.93,-0.01,-0.05,-0.02,17.00,-11.40,20.15
16758,0.35,-0.40,10.01,-0.00,-0.04,-0.00,17.00,-11.40,20.15
16940,0.30,-0.31,9.93,0.00,-0.03,-0.00,17.00,-11.40,20.15
17080,0.29,-0.40,9.89,0.03,-0.03,0.01,17.00,-11.40,20.15
17219,0.30,-0.35,10.00,-0.00,-0.04,0.00,17.00,-11.40,20.15
17359,0.24,-0.45,9.77,0.01,-0.05,-0.00,17.00,-11.40,20.15
17505,0.28,-0.45,10.01,-0.01,-0.04,-0.01,17.00,-11.40,20.15
17645,0.32,-0.45,10.00,-0.01,-0.04,-0.00,17.00,-11.40,20.15
17785,0.27,-0.46,9.90,0.03,-0.05,0.01,17.00,-11.40,20.15
17924,0.23,-0.52,9.93,0.03,-0.03,0.02,17.00,-11.40,20.15
18064,0.32,-0.39,9.96,-0.02,-0.05,-0.01,17.00,-11.40,20.15
18205,0.28,-0.49,9.89,0.02,-0.04,-0.01,17.00,-11.40,20.15
18344,0.25,-0.44,9.99,0.00,-0.05,-0.01,17.00,-11.40,20.15
18484,0.35,-0.36,9.97,0.02,-0.05,-0.02,17.00,-11.40,20.15
18624,0.29,-0.46,9.88,0.04,-0.10,-0.07,17.00,-11.40,20.15
18769,0.42,-0.13,9.90,0.01,-0.11,-0.06,17.00,-11.40,20.15
18910,-0.79,-2.10,9.54,0.50,-0.27,-0.44,17.00,-11.40,20.15
19049,0.23,1.82,6.32,1.10,0.11,-2.26,17.00,-11.40,20.15
19189,-0.75,4.56,6.78,1.88,-0.73,-2.49,17.00,-11.40,20.15
19329,-3.29,5.51,6.07,2.19,-0.46,-2.57,17.00,-11.40,20.15
