timestamp,filtered_x,filtered_y,filtered_z
3.49,0.0,0.0,0.0
3.65,0.0026691753648303415,0.02246117197400821,-0.005773806540986232
3.82,-0.009490621366903453,0.09380906152241658,0.0206372967462308
3.98,0.051331338330533494,0.20603288814907794,0.024567462204915777
4.14,0.09743937750314496,0.32712094800030517,-0.047146961300193066
4.31,0.05393426154207709,0.6211807033546399,0.061389272049471665
4.47,-0.31791619990038206,0.7776783262196723,0.16767300293590326
4.64,-0.49058640666669784,0.9248215961128561,0.14159283957803523
4.81,-0.9534134951006628,1.583830329868627,-0.6704440807283929
4.97,-1.2704578675347538,1.8069564542214198,-1.1910231079000493
5.13,-2.5623448401150464,1.9973389478249406,-1.6457986437060472
5.3,-5.277537050487892,2.504677563521317,-1.8729911976445563
5.46,-6.930470569078204,1.0192088124807401,-1.1125262135642093
5.62,-4.236308361171828,3.8838101324905105,-1.1488616672315244
5.79,-4.368027674606939,5.2122953822995814,0.9667860101623382
5.96,-3.465203388940769,6.297257795004889,1.0885810635043498
6.12,-1.6319487900228538,5.698387341604519,-1.615589879217327
6.28,-0.7766754889120646,4.894980169368015,-2.30340420456142
6.44,-1.8170333902049145,5.203651905927571,0.06010846338164111
6.61,0.5687650390240118,13.721677241960899,1.5710349133911228
6.77,2.968190727389142,5.785486557660933,2.522719219455965
6.94,4.349407780595689,3.3033192253047594,1.950872765687391
7.1,6.540678896904126,4.833543412058427,0.19381370179953317
7.26,5.661704890341372,4.861660909190999,-0.80679151151371
7.43,5.851556931495713,9.094355929791455,1.5638195582965269
7.59,11.550507002864748,16.301201798001394,-0.4026872491435045
7.75,11.485379741697319,17.823725057700784,-3.1217439219688132
7.91,10.985853003935746,9.848735691266903,-6.033536351947271
8.09,8.229069975772598,17.638420244192357,-0.8809271304265245
8.25,1.455869004739796,18.494461918106907,8.375024844214922
8.41,-7.86927110017968,-1.9187087527169133,11.328377534066732
8.57,-2.0063607918469506,-16.447369868023785,-3.869811232891591
8.74,-1.6789640815934583,-19.70069667869789,-3.1299700662252965
8.9,-3.3819291462568413,-7.614165983771851,1.3961254116744533
9.06,-6.523322339465491,-8.114954353678257,0.20988739805287837
9.23,-1.2026564537229802,-13.778973255570694,-6.836005902977859
9.4,-9.72041950590757,-21.243157857690072,3.9545373084354303
9.56,-10.226279492500003,-14.186470246607312,2.2010796058520135
9.72,-19.644224638447085,-13.023108263912329,4.386874162426228
