Time(ms),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,label
2784.9928913682606,0.17625992009772953,-0.27717715606210785,9.922553285331727,0.018428685045232606,-0.07739928566220126,-0.019306221447383955,1.0
2922.0076241023603,0.37659768809184535,-0.36978948996840655,9.8525614064247,0.07896975691093835,-0.03959708700749504,-0.11104372721485116,1.0
3059.9966073953915,0.16761221015850494,-0.253544311824149,10.171188624589057,-0.030755131162023837,-0.07895090289396871,-0.022088723230598854,1.0
3198.004245788541,0.1982824370249394,-0.14660714512498815,10.480787344732356,0.0020764076743334794,0.07690738150301031,-0.0010696587227504648,1.0
3334.998237500311,0.08455065068878738,-0.41032917216709647,10.046743938027541,-0.04855065526107293,-0.07818239975293069,-0.04551957782825025,1.0
3473.0109939786016,0.21242991879234008,-0.5654884419383148,9.63763052533086,0.009130077654532708,-0.056321991366561436,-0.03423810105639911,1.0
3610.9851001506386,-0.05893264916925195,-0.5279067176051649,9.788101956526633,-0.04899274854219649,-0.08627673215919292,-0.006989140764266407,1.0
3749.006536076865,0.32027386786544493,-0.2800160689532239,10.454965668260833,0.023823891123323632,-0.06918233862519844,-0.018261041313726314,1.0
3893.000592444986,0.017958554234208824,-0.475692388306294,9.663676729573798,0.06598374512277137,-0.05875277192897871,-0.02494366356750448,1.0
4030.986896497766,0.33832326172091626,-0.4673751861533791,9.883044188631118,0.0946466313124058,-0.12091536236076529,-0.0036045123306010867,1.0
4167.984318678471,0.398193864323274,-0.11354353200865173,9.31631966463212,0.020103014615049014,0.06475266200373372,0.06620354509860807,1.0
4304.999572305161,0.3228232168975772,-0.2868121975766548,9.875200053676036,0.023093525020167097,-0.08226011128424641,0.05814283941768057,1.0
4442.023013280559,0.2161677934355903,-0.3628271683146133,10.068289318309677,-0.03156026981700758,-0.019194543636285324,0.02964725336602724,1.0
4578.988033725079,0.23338326152327268,-0.39913937285647744,9.86991172338372,-0.06753255500005216,-0.031426563631690226,-0.006180306367662999,1.0
4713.988569039727,0.24500039525165146,-0.5199459769431704,9.975657848550023,0.13212076442295237,0.032643995051517445,-0.033989068890769455,1.0
4850.005850850477,0.07800132632159208,-0.43817626645315916,9.922621868913883,0.08011875388324317,-0.04033897347709237,0.05616872247161081,1.0
4985.989372306967,0.12315147354096764,-0.5072443536566483,9.739568922559464,0.08727019005954098,-0.06633090599517007,0.03322990497099434,1.0
5125.989543451774,-0.0017226581215587654,-0.2779619302737678,10.098989875964598,0.0803457962368076,0.018447039361376715,0.0482509121134821,1.0
5262.00327100502,0.060726643323546346,-0.12310713698781527,9.886620627378523,0.11004486259089019,-0.021931611267715104,0.010368736353136399,1.0
5398.006932021376,0.042869609164222,-0.254024824534511,9.736965891765987,-0.008704050121884487,-0.041618381767138495,0.08192565420809203,1.0
5533.9928897643995,-0.013894164215841697,-0.2327233536377353,9.77424984530088,-0.07459936309643071,-0.08358261317857373,0.003587801274373409,1.0
5668.998401191283,-0.05609502834826237,-0.37695272132531327,9.769281322759587,-0.11166913395146932,-0.01378897417296125,0.02993883157813282,1.0
5804.978353661708,-0.01635132456958269,-0.39558976983445515,9.883280098439117,0.056597641428909475,-0.05621826376293404,-0.024522695150022436,1.0
5941.004781088542,0.09920852056987042,-0.3664626351276904,9.809931115050171,-0.06387637305185942,-0.08857247825267502,-0.008916946926546286,1.0
6076.985663897886,0.0732238661945553,-0.3727432722084866,9.887201453572013,0.013813052259234048,-0.045752602851004014,0.009416505360928149,1.0
6217.994939371504,0.06677189237608112,-0.387946676201357,9.944630813970651,0.004315391389447912,-0.05280251272769728,0.008949590674915067,1.0
6353.9968457249,0.08030182290397984,-0.42039147834725066,9.998596793031659,-0.02012430296593344,-0.01317639976907334,-0.00646016993592541,1.0
6490.010099917354,0.06860074618810798,-0.44829300068077665,9.932394218597137,-0.03777742033850747,-0.026593280999098943,-0.012010426004652986,1.0
6625.0184300131605,0.0768324806807867,-0.4728410872624455,9.92929500006216,0.00904128088320064,-0.032137921308189085,0.0031642669950471066,1.0
6760.9906842388455,0.08143919134018106,-0.4749174892009304,9.838459591743057,0.020490029030546378,-0.041147810623669255,0.014243014462560545,1.0
6896.989431727297,0.0431477373862756,-0.38700175124921665,9.960872588797159,0.0035863871517921213,-0.020839222785086157,0.0009942652360873383,1.0
7033.011717274962,0.0016555570922874656,-0.4629167043379962,9.873933543473818,0.03496688479083584,-0.04057105086633415,-0.008313054612885642,1.0
7167.9811291607375,-0.05962908690444909,-0.5519836192981047,9.872282018846729,-0.02894185861945842,-0.04053378732928487,0.008342514460791668,1.0
7304.015328736518,0.0031605383503625997,-0.5192316265535205,9.841859073962112,-0.019616572536850885,-0.04504286270798918,-0.020520920511738476,1.0
7445.007905402851,0.03029696528733357,-0.4872718393664064,9.868130053810217,0.09540162329336592,-0.09518996038527175,-0.0213780484621171,1.0
7580.994480071898,0.0332443466620951,-0.46355753207823047,9.782896124672376,-0.004219671225131574,-0.04536075219139628,-0.006698967004445146,1.0
7716.003329770305,-0.06225847934314293,-0.43633965189039875,9.907185092788458,0.005382903577421155,-0.022481918145013206,0.006237043148538882,1.0
7851.990463390532,-0.15064735371288834,-0.49163887884848323,9.762070327094298,0.09947506800521215,-0.04929723453328823,-0.01858011171604041,1.0
7988.0046235257905,0.0490359555617106,-0.37524846380421206,9.951000688066914,-0.053976665318314965,-0.04558063442373736,-0.013721003277659832,1.0
8123.985951508219,-0.006143157398323996,-0.38164403549794657,9.852370836479393,0.017232858699701693,-0.04380369726881057,-0.025724209349583214,1.0
8259.016051795195,-0.017103274932272223,-0.4192422748131684,9.903415080161505,-0.008819662209706427,-0.038147532238439766,0.005888201408939142,1.0
8394.998780422426,0.002082198889438476,-0.4651825016959496,9.809700361697654,-0.026373597709763708,-0.05716314334026577,-0.008535415350220217,1.0
