Timestamp,qw,qx,qy,qz,yaw,pitch,roll
1888,0.999865,0.001380,-0.016106,-0.000315,179.961365,-1.845607,0.158815
2010,0.999533,0.002961,-0.030281,0.000131,180.004745,-3.470514,0.339281
2132,0.998960,0.004406,-0.045297,-0.000251,179.948227,-5.192188,0.507705
2254,0.998137,0.005658,-0.060671,-0.001414,179.797394,-6.955565,0.661872
2376,0.997079,0.007096,-0.075945,-0.002818,179.611786,-8.708440,0.845041
2498,0.995852,0.008268,-0.090487,-0.003793,179.472763,-10.379134,0.999212
2618,0.994428,0.009143,-0.104897,-0.004244,179.393112,-12.037233,1.117518
2741,0.992723,0.010174,-0.119821,-0.005593,179.201096,-13.755814,1.270743
2861,0.990740,0.010865,-0.135123,-0.006946,179.006851,-15.521125,1.391991
2982,0.988633,0.011798,-0.149661,-0.007668,178.878799,-17.201853,1.536961
3103,0.986282,0.012775,-0.164323,-0.008601,178.718185,-18.900009,1.697489
3224,0.983893,0.013492,-0.177974,-0.009444,178.569473,-20.484823,1.829744
3345,0.981013,0.014460,-0.193162,-0.009218,178.534302,-22.254513,1.977244
3470,0.978121,0.015355,-0.207211,-0.009915,178.385483,-23.894266,2.140373
3601,0.975086,0.015908,-0.221007,-0.010057,178.308167,-25.510855,2.252383
3722,0.971802,0.016877,-0.234976,-0.009729,178.271362,-27.153233,2.407362
3844,0.968111,0.017606,-0.249701,-0.009607,178.207108,-28.890615,2.545598
3966,0.964300,0.018353,-0.263989,-0.009520,178.132797,-30.582539,2.691187
4087,0.960206,0.018101,-0.278526,-0.009601,178.066071,-32.312473,2.720180
4209,0.955842,0.019235,-0.293103,-0.008833,178.052032,-34.054478,2.902288
4331,0.951232,0.022359,-0.307528,-0.008689,177.860825,-35.779842,3.383556
4454,0.946812,0.023082,-0.320794,-0.009835,177.588806,-37.373520,3.608583
4575,0.942233,0.023438,-0.333995,-0.009301,177.553711,-38.973873,3.715594
4696,0.937284,0.023668,-0.347598,-0.010301,177.299149,-40.625191,3.892962
4818,0.932570,0.020788,-0.360191,-0.011637,177.163315,-42.169174,3.647833
4940,0.928060,0.019595,-0.371658,-0.013531,176.860214,-43.575653,3.674483
5062,0.923337,0.018157,-0.383245,-0.015280,176.583511,-45.005466,3.668807
5184,0.917986,0.018292,-0.395840,-0.016436,176.275848,-46.564503,3.886072
5308,0.911650,0.022483,-0.410107,-0.013905,176.222275,-48.341728,4.521362
5430,0.906169,0.024766,-0.421857,-0.016511,175.484726,-49.794121,5.227502
5552,0.900659,0.022391,-0.433436,-0.020915,174.767914,-51.243969,5.358801
5674,0.894390,0.021632,-0.446312,-0.019899,174.778702,-52.891304,5.369446
5796,0.889212,0.022553,-0.456456,-0.020803,174.353394,-54.177544,5.795578
5918,0.885002,0.023307,-0.464506,-0.021301,174.029755,-55.203556,6.140629
6040,0.878859,0.023617,-0.476004,-0.021465,173.705948,-56.685333,6.476053
6163,0.872311,0.023472,-0.488002,-0.019222,173.840057,-58.263454,6.517957
6284,0.865900,0.022958,-0.499228,-0.021278,173.191513,-59.721657,6.949503
6405,0.860592,0.023707,-0.508265,-0.021853,172.709534,-60.901054,7.445653
6526,0.854817,0.022737,-0.517928,-0.022661,172.328461,-62.182270,7.677891
6648,0.848067,0.020205,-0.529008,-0.022733,172.230331,-63.682327,7.559309
6770,0.841798,0.022407,-0.538825,-0.023081,171.433533,-64.975922,8.510481
6892,0.835077,0.023238,-0.549156,-0.022928,170.841080,-66.363823,9.184583
7016,0.828768,0.021735,-0.558722,-0.022201,170.739990,-67.689011,9.221549
7138,0.821899,0.022552,-0.568734,-0.022535,169.902817,-69.045784,10.098583
7260,0.815042,0.022105,-0.578595,-0.020938,169.731094,-70.429817,10.364833
7382,0.808604,0.021794,-0.587618,-0.019535,169.499817,-71.704239,10.685552
7504,0.802436,0.022040,-0.596040,-0.018399,169.063904,-72.893005,11.234421
7626,0.796109,0.022395,-0.604447,-0.018546,168.100037,-74.066620,12.214911
7750,0.789734,0.021454,-0.612793,-0.018356,167.447174,-75.261948,12.805978
7871,0.783376,0.021318,-0.620926,-0.017642,166.663986,-76.429970,13.635999
7992,0.777474,0.021569,-0.628326,-0.016369,165.941071,-77.502998,14.482730
8113,0.771829,0.021341,-0.635271,-0.015706,165.051666,-78.513313,15.407271
8235,0.765512,0.021016,-0.642899,-0.014927,163.910080,-79.630157,16.585340
8357,0.760037,0.020877,-0.649356,-0.015391,162.081024,-80.548889,18.364990
8479,0.754504,0.020280,-0.655811,-0.014711,160.705292,-81.504311,19.747183
8603,0.749018,0.019737,-0.662118,-0.013199,159.509506,-82.460892,21.021358
8725,0.743877,0.020581,-0.667851,-0.013779,155.957123,-83.231781,24.594976
8847,0.738931,0.019928,-0.673361,-0.012675,153.858658,-84.059311,26.729782
8969,0.734085,0.019602,-0.678643,-0.013057,149.766678,-84.779221,30.764174
9090,0.729577,0.018348,-0.683533,-0.012420,146.491272,-85.505730,33.989365
9211,0.724902,0.016771,-0.688547,-0.011469,142.380493,-86.262199,38.049309
9332,0.720667,0.016374,-0.693009,-0.010068,136.547729,-86.890579,43.963306
9455,0.716807,0.013823,-0.697089,-0.007441,133.107315,-87.638931,47.409817
9579,0.714669,0.014685,-0.699276,-0.006088,126.897797,-87.892159,53.798809
9706,0.710958,0.015925,-0.703043,-0.002765,113.502068,-88.338936,67.564262
9826,0.709068,0.013409,-0.705004,-0.002193,105.074219,-88.673523,75.834747
9946,0.705759,0.012718,-0.708314,-0.005121,82.174713,-88.521835,98.441002
10067,0.702103,0.012056,-0.711958,-0.003652,58.251575,-88.480064,122.429405
10188,0.699811,0.012981,-0.714205,0.000255,42.028622,-88.426414,139.044205
10312,0.698150,0.015960,-0.715766,-0.001964,46.073170,-87.950432,135.061325
10433,0.697064,0.016337,-0.716810,-0.003176,45.202801,-87.738777,135.864044
10554,0.695923,0.013796,-0.717975,-0.002367,36.708942,-87.772697,144.217499
10675,0.693593,0.012856,-0.720245,-0.001610,28.954681,-87.531616,151.956909
10796,0.691339,0.014108,-0.722380,-0.003202,29.593987,-87.110733,151.290115
10917,0.690849,0.012396,-0.722880,-0.003387,26.599495,-87.096870,154.130875
11038,0.691145,0.010089,-0.722632,-0.003350,23.389990,-87.216110,157.156326
