x,y,z
0.13999999999999999,0.27,-0.35999999999999943
-0.14,0.08000000000000007,0.2599999999999998
0.33999999999999997,0.08000000000000007,0.07000000000000028
0.27,-0.10999999999999999,-0.23000000000000043
0.03,0.010000000000000009,0.13000000000000078
-0.54,-0.13,0.22000000000000064
-0.39,-0.33999999999999997,0.08000000000000007
-0.66,-0.010000000000000009,-0.5700000000000003
-0.74,-0.13,-0.6199999999999992
-0.8950998040016187,-0.15959143792276922,-0.4163254902333108
-0.9692052809326246,-0.12820175673711967,-0.21025088104887632
-0.8992354987840722,-0.4273594449666878,-0.09348487858646255
-0.61,0.20999999999999996,-0.2599999999999998
-0.75,-0.010000000000000009,0.35999999999999943
-0.45,0.0,0.14000000000000057
-0.13,-0.22999999999999998,-0.4900000000000002
-0.09,-0.43000000000000005,-0.3699999999999992
-0.3,-0.38,0.14000000000000057
0.16,0.69,0.17999999999999972
0.38,-0.89,0.2400000000000002
0.36,-0.85,0.08000000000000007
0.57,-0.55,-0.11999999999999922
0.33999999999999997,-0.65,-0.129999999999999
0.33,-0.33999999999999997,0.13000000000000078
0.87,0.20999999999999996,-0.0600000000000005
0.63,0.020000000000000018,-0.2400000000000002
0.5599999999999999,-0.73,-0.379999999999999
0.24,-0.17000000000000004,0.0600000000000005
-0.09,-0.16000000000000003,0.5700000000000003
-0.2919337866500262,-0.9049947386150812,0.30944981384902737
0.025006877837237925,-0.9652654845173841,-0.26007152950727425
-0.02986205727635276,-0.9973927130301821,-0.06569652600797572
-0.14605848313885691,-0.9834604531349698,0.10710955430182784
-0.20785225558485695,-0.9776754244176604,-0.030792926753311484
0.0267524117968376,-0.9764630305845724,-0.214019294374701
-0.21663743726611845,-0.9660858688894471,0.14052158092937425
-0.2209624021502432,-0.9752823267321079,0.0
-0.43788173400971075,-0.8959733942044851,0.07410306267856605
-0.4507452133492866,-0.8724100903534578,0.18902218624324904
0.12232619318247433,-0.9880192526276773,-0.09409707167882607
0.5576418197471122,-0.813608556680213,-0.16455004517127877
0.27,-0.75,0.25
0.47,-0.77,0.08000000000000007
0.37,-0.92,0.0600000000000005
0.1685152678695494,-0.9592407555651272,0.22684747597823932
0.24069261941793602,-0.934116594407704,0.2636157260291685
-0.2547170482022814,-0.9078376846183875,0.33309152457221397
-0.4443438086356421,-0.8886876172712842,0.11310569674361773
-0.16574012628380183,-0.9707635968051249,-0.17363251324969764
0.043666499427264624,-0.9980914154803342,0.0436664994272648
-0.47376176414513144,-0.8508374539749299,0.22721227464103272
-0.2060040145271129,-0.9785190690037862,0.007923231327965711
-0.2684806711232614,-0.9595698060516564,0.0845216927610267
-0.37102239551350347,-0.9275559887837587,-0.04452268746162079
-0.6594664963754397,-0.7451971409042468,0.09891997445631619
-0.4695881461669331,-0.8820642205027528,-0.038074714554075975
-0.43,0.75,-0.019999999999999574
-0.75780554129485,-0.4088161472774849,0.5085274027110175
-0.09999999999999999,0.54,0.6699999999999999
0.5046965873311559,0.6906374352952658,-0.517978076471449
0.7529290265832794,0.1562682885361523,-0.6392793621933507
0.6227178602897554,0.6968509388956786,0.355838777308432
0.8968036429917395,0.3975521303983999,-0.1941533660085201
-0.53,-0.08999999999999997,-0.39000000000000057
-0.21767012126183238,-0.3377639812683605,-0.915715682549778
-0.7316896711855472,-0.4152833268890943,-0.5405275048397737
-0.8989846485130868,-0.2736040234605047,-0.3420050293256305
-0.77,0.43999999999999995,-0.23000000000000043
-0.9395073567378919,-0.2055172342864138,-0.27402297904855116
-0.6471354225408507,0.3472433974609442,-0.6787030041282087
-0.45,-0.30000000000000004,-0.07000000000000028
-0.78,0.3500000000000001,0.3800000000000008
0.04,0.1299999999999999,-0.4800000000000004
0.85,-0.10999999999999999,-0.16000000000000014
0.3,0.32000000000000006,-0.3100000000000005
