Time(ms),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
69277,-0.78,-1.2,9.95,0.02,-0.04,-0.03
69420,-0.8,-1.23,9.98,-0.0,-0.01,-0.03
69564,-0.74,-1.17,9.88,-0.01,-0.03,-0.01
69708,-0.69,-1.21,10.09,0.0,-0.01,0.01
69851,-0.77,-1.22,9.78,0.02,-0.04,0.02
70000,-0.81,-1.25,9.83,-0.0,-0.02,0.01
70144,-0.76,-1.12,9.72,0.0,-0.04,0.01
70288,-0.81,-1.23,9.82,0.01,-0.04,0.01
70431,-0.78,-1.14,10.02,0.02,-0.04,-0.01
70575,-0.83,-1.2,9.99,0.01,-0.05,-0.0
70719,-0.76,-1.12,9.91,-0.01,-0.03,0.01
70863,-0.83,-1.22,9.8,0.0,-0.08,-0.03
71006,-0.77,-1.17,9.79,0.01,-0.04,0.0
71152,-0.82,-1.37,9.89,0.06,-0.03,0.01
71291,-0.78,-1.06,9.75,0.02,-0.05,-0.01
71435,-0.81,-1.2,9.81,0.03,-0.01,0.0
71579,-0.89,-1.07,9.82,0.02,-0.04,0.03
71723,-0.96,-1.16,9.8,0.03,-0.05,0.0
71867,-0.84,-1.04,9.7,0.02,-0.05,-0.01
72011,-0.91,-1.16,9.93,0.02,-0.02,0.02
72156,-0.89,-1.01,9.54,0.01,-0.07,-0.01
72300,-0.94,-1.17,9.81,0.01,-0.05,0.01
72450,-0.94,-1.08,9.82,-0.01,-0.04,0.01
72593,-0.95,-1.2,9.94,0.0,-0.02,-0.01
72737,-0.96,-1.23,9.93,0.0,-0.02,0.01
72880,-0.98,-1.23,9.86,-0.0,-0.05,-0.01
73024,-0.95,-1.15,9.77,0.02,-0.05,0.0
73167,-0.92,-1.14,9.68,0.02,-0.05,-0.0
73311,-1.0,-1.3,9.67,0.02,-0.05,0.02
73455,-0.97,-1.17,10.0,0.01,-0.05,-0.0
73598,-0.99,-1.17,9.8,0.01,-0.05,0.0
73748,-0.95,-1.24,9.98,0.01,-0.04,-0.01
73891,-0.96,-1.22,9.75,0.01,-0.05,-0.0
74035,-0.95,-1.16,9.87,0.02,-0.04,-0.01
74178,-0.94,-1.14,9.74,0.02,-0.03,0.02
74322,-0.97,-1.1,9.95,0.04,-0.04,0.01
74466,-0.94,-1.12,9.92,0.02,-0.04,0.01
74610,-0.96,-1.09,9.83,0.03,-0.03,0.02
74753,-0.91,-0.86,9.89,0.03,-0.04,-0.0
74903,-0.94,-1.05,9.93,0.01,-0.05,-0.01
75046,-0.98,-1.04,9.91,-0.01,-0.04,-0.0
75190,-0.96,-0.95,9.88,0.09,-0.05,-0.01
75333,-0.87,-0.79,9.78,0.01,-0.04,-0.01
75483,-0.96,-0.98,9.84,0.03,-0.04,0.01
75626,-0.9,-0.85,9.92,-0.0,-0.06,-0.01
75770,-0.91,-1.03,9.95,0.0,-0.04,-0.01
75915,-0.86,-0.96,9.78,0.01,-0.05,0.0
76058,-0.91,-1.04,9.9,0.01,-0.04,0.0
76208,-0.85,-0.87,9.9,0.01,-0.04,0.01
76351,-0.85,-0.92,10.1,-0.0,-0.05,0.0
76496,-0.87,-0.94,9.98,0.01,-0.03,-0.0
76639,-0.83,-0.99,9.79,0.0,-0.04,-0.0
76784,-0.79,-0.92,9.87,0.02,-0.04,-0.01
76928,-0.89,-1.03,9.96,0.01,-0.03,0.0
77073,-0.91,-0.99,9.96,0.0,-0.04,0.01
77217,-0.88,-0.94,9.97,0.02,-0.05,-0.0
77367,-0.86,-0.91,9.93,0.01,-0.04,0.01
77511,-0.9,-0.9,9.89,-0.0,-0.05,0.01
77655,-0.9,-0.93,9.92,0.01,-0.05,-0.01
