Time(ms),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
17645,0.32,-0.45,10.0,-0.01,-0.04,-0.0
17785,0.27,-0.46,9.9,0.03,-0.05,0.01
17924,0.23,-0.52,9.93,0.03,-0.03,0.02
18064,0.32,-0.39,9.96,-0.02,-0.05,-0.01
18205,0.28,-0.49,9.89,0.02,-0.04,-0.01
18344,0.25,-0.44,9.99,0.0,-0.05,-0.01
18484,0.35,-0.36,9.97,0.02,-0.05,-0.02
18624,0.29,-0.46,9.88,0.04,-0.1,-0.07
18769,0.42,-0.13,9.9,0.01,-0.11,-0.06
18910,-0.79,-2.1,9.54,0.5,-0.27,-0.44
19049,0.23,1.82,6.32,1.1,0.11,-2.26
19189,-0.75,4.56,6.78,1.88,-0.73,-2.49
19329,-3.29,5.51,6.07,2.19,-0.46,-2.57
19468,-4.2,6.49,5.13,2.24,-0.47,-2.45
19608,-5.76,10.21,5.05,2.13,-0.21,-1.79
19748,-6.42,6.5,2.77,1.42,-0.23,-1.08
19893,-7.09,7.47,3.67,0.55,-0.0,-0.99
20033,-7.34,6.22,2.0,0.24,-0.05,-0.27
20172,-7.63,5.32,3.31,0.08,-0.07,-0.14
20312,-7.97,5.06,2.11,0.18,0.01,-0.3
20452,-8.09,5.6,1.63,0.05,0.08,-0.31
20591,-8.57,4.17,2.46,-0.14,0.16,-0.28
20731,-8.69,4.32,1.39,0.05,-0.07,-0.24
20871,-8.74,3.82,2.14,0.14,-0.01,-0.21
21010,-8.75,4.41,1.59,0.26,-0.1,-0.32
21156,-9.13,3.2,1.58,0.06,0.05,-0.22
21295,-9.1,2.79,2.11,-0.06,0.07,-0.24
21435,-9.19,3.1,1.27,0.14,0.01,-0.17
21575,-9.25,3.05,1.76,-0.01,0.07,-0.06
21714,-9.3,2.67,1.49,0.02,0.05,-0.06
21854,-9.27,2.66,1.39,-0.15,0.09,-0.11
21994,-9.31,2.86,1.5,0.09,-0.03,-0.08
22133,-9.4,2.37,1.28,0.04,-0.02,0.01
22273,-9.38,2.47,1.29,-0.01,-0.03,-0.02
22434,-9.44,2.49,1.31,0.04,-0.02,0.03
22578,-9.47,2.4,0.94,-0.0,-0.05,0.05
22721,-9.51,2.24,1.06,0.05,0.04,0.08
22865,-9.46,2.45,1.14,-0.04,-0.04,0.03
23008,-9.41,2.61,0.87,0.0,-0.06,0.01
23158,-9.38,2.51,1.09,0.06,-0.03,-0.0
23301,-9.35,2.54,1.37,0.06,0.02,-0.01
23445,-9.41,2.58,1.05,-0.03,-0.06,0.02
23588,-9.36,2.75,0.98,0.0,-0.02,0.01
23738,-9.41,2.67,1.0,0.07,-0.01,0.02
23881,-9.41,2.64,0.95,0.02,-0.04,0.0
24025,-9.36,2.81,1.06,-0.02,-0.06,0.0
24168,-9.36,2.62,0.89,0.0,-0.03,0.01
24312,-9.38,2.79,1.03,-0.01,-0.04,0.01
24457,-9.41,2.6,0.89,0.03,-0.04,0.0
24600,-9.41,2.61,1.1,0.03,-0.04,-0.01
24744,-9.35,2.77,0.92,0.01,-0.04,0.01
24893,-9.39,2.75,0.94,0.02,-0.07,0.03
25037,-9.38,2.72,1.07,0.0,-0.01,0.01
25180,-9.31,2.77,0.86,0.04,-0.05,-0.0
25324,-9.43,2.63,0.89,-0.02,-0.02,0.01
25467,-9.39,2.87,0.81,0.03,-0.05,-0.0
25611,-9.35,2.79,0.91,0.03,-0.08,0.02
25754,-9.37,2.79,0.6,0.02,-0.05,0.01
25898,-9.34,2.83,0.99,0.05,-0.05,0.02
26041,-9.3,2.98,1.03,-0.0,-0.04,-0.02
26191,-9.3,2.9,0.9,0.02,-0.03,-0.01
26334,-9.32,2.9,1.06,0.0,-0.02,-0.01
26478,-9.4,2.84,0.73,0.01,-0.06,0.0
26622,-9.34,2.86,0.88,0.02,-0.03,0.01
26765,-9.33,2.91,0.79,0.02,-0.05,0.0
26909,-9.34,2.89,1.02,-0.0,-0.02,-0.01
27052,-9.43,2.72,0.8,0.03,-0.04,-0.0
27196,-9.34,2.87,0.96,0.02,-0.03,0.01
27339,-9.39,2.89,0.84,-0.0,-0.04,-0.01
27489,-9.41,2.75,0.81,-0.0,-0.04,0.01
27633,-9.42,2.71,0.74,-0.0,-0.05,-0.0
27777,-9.39,2.83,0.85,0.02,-0.04,-0.01
27920,-9.32,2.89,0.85,0.02,-0.04,0.0
28064,-9.31,2.75,0.87,0.02,-0.04,0.0
28208,-9.38,2.76,0.8,-0.01,-0.04,0.02
28351,-9.35,2.68,0.94,0.06,-0.06,0.02
28495,-9.36,2.91,0.76,0.01,-0.02,0.0
28638,-9.41,2.66,0.7,0.0,-0.03,0.0
28778,-9.31,3.1,0.84,0.01,-0.03,0.01
28921,-9.4,2.71,0.68,0.02,-0.06,0.0
29065,-9.25,3.03,0.9,0.01,-0.01,-0.01
29208,-9.36,2.75,0.92,0.04,-0.06,0.01
29352,-9.32,2.91,0.7,-0.0,-0.04,0.02
29496,-9.37,2.98,0.58,0.03,-0.06,-0.01
29639,-9.31,2.94,0.92,-0.0,-0.04,-0.01
29783,-9.35,2.8,0.88,0.01,-0.03,-0.02
29932,-9.35,2.89,0.71,0.01,-0.04,-0.01
30076,-9.43,2.72,0.76,0.03,-0.05,0.02
30219,-9.27,2.96,0.77,0.02,-0.03,-0.0
30363,-9.39,2.91,0.84,-0.04,-0.04,-0.01
30506,-9.33,2.83,0.88,0.05,-0.04,-0.02
30650,-9.38,2.94,0.72,0.0,-0.03,-0.0
30793,-9.4,2.8,0.6,0.02,-0.03,0.0
30937,-9.4,2.82,0.65,0.03,-0.06,0.02
31081,-9.42,2.92,0.55,0.01,-0.02,-0.02
31230,-9.42,2.72,0.67,-0.03,-0.03,0.02
31374,-9.32,2.97,0.67,0.0,-0.07,-0.01
31517,-9.33,2.86,0.72,0.01,-0.04,-0.02
31661,-9.33,2.97,0.75,0.01,-0.04,-0.04
31804,-9.37,2.78,0.72,0.0,-0.05,0.02
31948,-9.33,2.83,0.56,0.02,-0.05,-0.01
32091,-9.36,2.96,0.73,-0.02,-0.06,0.0
32235,-9.34,2.89,0.56,0.03,-0.05,0.02
32378,-9.32,2.9,0.75,-0.01,-0.05,-0.0
32528,-9.29,2.99,0.63,0.01,-0.04,0.05
32671,-9.31,2.92,0.61,0.03,-0.03,0.04
32816,-9.27,3.01,0.74,0.03,-0.05,-0.03
32959,-9.27,3.1,0.74,0.03,-0.02,-0.01
33103,-9.3,3.14,0.62,-0.0,-0.04,0.0
33247,-9.34,3.03,0.74,0.04,-0.05,-0.01
33390,-9.51,2.64,2.19,0.11,-0.22,0.02
33534,-10.69,2.68,7.12,0.46,-1.65,-0.0
33683,-10.87,3.34,5.98,-0.53,-2.43,-0.02
33827,-8.21,3.48,5.21,-0.39,-1.82,0.0
33970,-5.81,1.93,6.08,-0.44,-1.54,0.03
34114,-3.42,0.64,9.05,-0.8,-1.82,-0.02
34257,-0.75,0.99,8.8,-0.07,-1.56,0.01
34401,0.63,-0.27,7.81,0.13,-0.59,-0.04
34544,1.68,1.57,8.21,-0.12,-0.19,-0.08
34688,1.71,0.02,9.88,-0.16,-0.01,-0.05
34832,1.47,0.08,9.42,-0.23,-0.01,-0.11
34981,1.37,0.15,10.34,-0.0,0.36,-0.28
35125,0.99,0.38,9.96,-0.27,0.25,-0.23
35270,0.8,-0.07,10.53,-0.02,0.08,-0.14
35414,0.43,-0.22,10.08,-0.28,0.15,-0.08
35557,0.13,-0.1,9.7,0.06,0.18,-0.07
35702,-0.24,-0.63,9.37,-0.04,0.12,-0.0
35845,-0.14,-0.18,9.98,-0.23,-0.02,0.01
35989,-0.41,-0.69,9.54,0.05,-0.06,-0.0
36132,-0.37,-0.66,10.03,0.1,0.01,-0.05
36282,-0.44,-0.32,9.54,0.09,0.01,-0.07
36425,-0.5,-0.47,10.02,0.09,0.0,0.02
36569,-0.49,-0.11,10.03,0.02,-0.03,-0.01
36712,-0.51,-0.0,9.61,0.0,-0.03,0.02
36856,-0.63,-0.32,9.78,0.07,-0.06,0.01
37000,-0.56,-0.28,10.03,0.02,-0.07,0.01
37143,-0.63,-0.14,9.65,-0.01,-0.06,-0.01
37287,-0.47,-0.04,10.2,0.02,-0.04,-0.0
37436,-0.51,-0.03,9.91,0.02,-0.02,-0.0
37580,-0.6,-0.28,10.16,-0.01,-0.05,0.03
37723,-0.52,-0.26,9.77,-0.02,-0.11,0.04
37867,-0.38,-0.17,9.86,0.05,-0.1,0.06
38010,-0.45,-0.16,9.92,-0.02,-0.04,0.02
38154,-0.42,-0.1,9.92,0.01,-0.09,0.01
38297,-0.39,-0.19,9.96,0.01,-0.06,-0.01
38441,-0.29,0.07,9.82,0.02,-0.05,-0.03
38584,-0.39,-0.07,10.05,0.02,-0.04,-0.01
38734,-0.37,-0.14,10.06,0.01,-0.07,-0.02
38877,-0.39,-0.06,9.73,0.01,-0.06,0.01
39021,-0.35,-0.15,9.89,0.01,-0.03,0.01
39165,-0.38,-0.25,10.02,0.01,0.0,-0.02
39308,-0.35,-0.26,10.04,-0.01,-0.05,-0.03
39452,-0.42,-0.15,9.97,0.03,-0.08,-0.03
39595,-0.46,-0.24,10.08,0.0,-0.02,-0.02
39739,-0.47,-0.23,9.88,0.03,-0.05,0.03
39888,-0.46,-0.07,9.99,-0.03,-0.03,-0.04
40032,-0.46,-0.18,9.82,0.01,-0.08,0.01
40175,-0.48,-0.23,9.88,0.01,-0.03,-0.02
40319,-0.48,-0.16,9.91,0.0,-0.07,-0.0
40462,-0.41,-0.18,9.64,-0.01,-0.08,0.01
40612,-0.36,-0.29,10.05,-0.0,-0.04,0.0
40761,-0.42,-0.38,10.01,0.03,-0.04,0.03
40905,-0.4,-0.3,9.74,-0.05,-0.08,-0.08
41048,-0.29,-0.45,9.75,-0.02,-0.06,0.06
41198,-0.34,-0.15,9.84,-0.02,-0.04,0.07
41341,-0.36,-0.64,10.02,-0.01,-0.04,0.01
41485,-0.44,-0.65,10.02,0.05,-0.03,-0.02
41628,-0.35,-0.28,9.64,0.03,-0.06,-0.01
41772,-0.02,0.71,10.42,0.63,-0.35,-0.09
41916,-0.33,-0.29,9.73,0.06,-0.04,0.01
42060,-0.36,-0.38,9.86,0.03,-0.06,0.02
42204,-0.33,-0.27,9.75,0.03,-0.06,-0.03
42369,-0.29,-0.19,9.94,0.01,-0.05,-0.02
42512,-0.32,-0.31,9.7,0.01,-0.04,-0.0
42656,-0.31,-0.28,9.9,0.01,-0.04,-0.01
42799,-0.25,-0.16,9.85,0.04,-0.05,0.01
42943,-0.34,-0.17,9.73,0.03,-0.04,0.01
43087,-0.35,-0.33,9.92,0.02,-0.07,0.01
43231,-0.27,-0.1,9.72,0.04,-0.07,-0.01
43375,-0.31,-0.22,9.88,0.02,-0.03,-0.01
43519,-0.3,-0.24,10.03,0.03,-0.04,0.01
43668,-0.28,-0.18,9.98,0.02,-0.05,0.0
43813,-0.31,-0.17,9.93,0.02,-0.05,-0.01
43957,-0.41,-0.4,9.81,0.04,-0.03,0.01
44100,-0.29,-0.31,9.89,0.01,-0.05,-0.01
44245,-0.24,-0.21,9.91,0.0,-0.03,-0.01
44388,-0.26,-0.19,9.96,-0.01,-0.05,0.02
44539,-0.32,-0.3,9.92,0.01,-0.05,0.01
44682,-0.34,-0.33,9.86,0.03,-0.06,-0.01
44832,-0.27,-0.23,9.97,0.02,-0.05,-0.01
44975,-0.32,-0.34,10.06,0.02,-0.04,-0.01
45119,-0.29,-0.25,9.81,0.01,-0.03,-0.0
45262,-0.29,-0.27,10.15,0.01,-0.03,-0.01
45407,-0.32,-0.22,9.87,0.01,-0.04,-0.01
45550,-0.31,-0.09,9.63,0.0,-0.04,0.0
45694,-0.26,-0.21,10.11,0.03,-0.05,0.01
45838,-0.33,-0.4,9.65,0.0,-0.06,0.01
45982,-0.31,-0.4,9.98,-0.0,-0.04,0.01
46131,-0.31,-0.24,9.92,0.0,-0.04,0.0
46275,-0.29,-0.1,9.84,0.0,-0.03,-0.01
46419,-0.34,-0.31,10.1,0.02,-0.04,0.02
46564,-0.31,-0.18,9.76,0.02,-0.06,0.01
46708,-0.28,-0.17,9.98,-0.01,-0.04,0.01
46853,-0.3,-0.18,9.8,0.02,-0.07,0.02
46998,-0.31,-0.39,10.13,0.01,-0.05,0.01
47142,-0.29,-0.24,9.86,0.01,-0.06,0.0
47287,-0.25,-0.19,10.02,0.0,-0.05,0.01
47436,-0.23,-0.18,9.97,0.03,-0.05,0.01
47581,-0.25,-0.34,9.93,-0.01,-0.05,0.02
47725,-0.24,-0.12,9.69,0.01,-0.06,0.0
47870,-0.21,-0.21,10.11,0.01,-0.04,-0.01
48014,-0.24,-0.21,9.9,0.02,-0.04,0.0
48159,-0.22,-0.21,9.96,0.01,-0.05,-0.01
48303,-0.24,-0.31,10.07,0.02,-0.07,0.02
48448,-0.04,0.38,9.66,-0.09,-0.32,0.12
48597,0.74,1.18,11.24,0.56,-0.86,0.59
48742,1.74,1.29,9.64,1.52,-1.49,1.02
48886,3.01,0.61,11.02,0.63,-1.7,1.31
49031,5.59,1.16,7.97,0.43,-1.72,1.11
49175,7.1,-0.27,5.78,0.5,-1.29,1.12
49320,7.83,-1.85,3.4,0.33,-0.79,0.59
49464,8.48,-1.29,3.36,-0.04,-0.76,0.38
49608,9.36,-1.94,2.49,0.01,-0.55,0.43
49751,9.16,-2.99,1.85,0.09,-0.42,0.36
49901,8.97,-3.29,1.34,0.09,-0.13,0.05
50044,9.34,-2.73,1.94,-0.02,-0.06,-0.04
50189,9.28,-2.67,1.69,-0.07,0.04,0.03
50333,9.23,-2.45,2.05,-0.03,-0.04,-0.04
50476,9.38,-2.64,2.02,-0.04,0.01,-0.0
